"year","country","vturn","outlays","realgdpgr","unemp"
1995,"Canada",69.6,48.45,2.81,9.49
1996,"Canada",69.6,46.73,1.62,9.62
1997,"Canada",67,44.25,4.23,9.1
1998,"Canada",67,44.78,4.1,8.28
1999,"Canada",67,42.98,5.53,7.58
2000,"Canada",60.5,41.09,5.23,6.83
2001,"Canada",60.5,41.97,1.78,7.23
2002,"Canada",60.5,41.23,2.92,7.67
2003,"Canada",60.5,41.18,1.88,7.58
2004,"Canada",60.9,39.86,3.12,7.18
2005,"Canada",60.9,39.3,3.02,6.76
2006,"Canada",64.7,39.45,2.82,6.32
2007,"Canada",64.7,39.35,2.2,6.03
2008,"Canada",58.8,40.03,0.69,6.13
2009,"Canada",58.8,44.37,-2.77,8.27
2010,"Canada",58.8,44.08,3.21,8.01
1960,"Denmark",85.8,NA,NA,1.96
1961,"Denmark",85.8,NA,5.6,1.93
1962,"Denmark",85.8,NA,5.55,1.85
1963,"Denmark",85.8,NA,-1.12,2.06
1964,"Denmark",85.5,NA,11.04,1.47
1965,"Denmark",85.5,NA,4.47,1.18
1966,"Denmark",88.6,NA,7.54,1.38
1967,"Denmark",88.6,NA,5.64,1.22
1968,"Denmark",89.3,NA,5.67,1.22
1969,"Denmark",89.3,NA,6.48,1.13
1970,"Denmark",89.3,NA,1.5,0.73
1971,"Denmark",87.2,42.74,3,1.14
1972,"Denmark",87.2,42.12,4.17,0.97
1973,"Denmark",88.7,40.17,3.76,0.87
1974,"Denmark",88.7,44.89,-0.82,3.6
1975,"Denmark",88.2,46.49,-1.22,4.93
1976,"Denmark",88.2,46.49,6.09,6.41
1977,"Denmark",88,46.86,1.98,7.42
1978,"Denmark",88,47.83,2.27,8.38
1979,"Denmark",85.6,49.93,3.95,6.05
1980,"Denmark",85.6,53.42,-0.49,6.93
1981,"Denmark",83.2,57.81,-0.89,10.43
1982,"Denmark",83.2,59.61,3.71,11.09
1983,"Denmark",83.2,59.21,2.65,11.55
1984,"Denmark",88.4,56.13,4.17,8.59
1985,"Denmark",88.4,55.13,4.02,7.35
1986,"Denmark",88.4,51.09,4.95,5.53
1987,"Denmark",86.7,52.51,0.29,5.47
1988,"Denmark",85.7,55.13,-0.14,6.54
1989,"Denmark",85.7,55.48,0.57,8.23
1990,"Denmark",81.4,55.41,1.61,8.41
1991,"Denmark",81.4,56.07,1.3,9.21
1992,"Denmark",81.4,57.12,1.98,9.1
1993,"Denmark",81.4,60.21,-0.09,10.81
1994,"Denmark",84.3,60.19,5.53,8.13
1995,"Denmark",84.3,59.28,3.07,7.13
1996,"Denmark",84.3,58.91,2.83,6.99
1997,"Denmark",84.3,56.68,3.2,6.16
1998,"Denmark",86,56.33,2.16,5.51
1999,"Denmark",86,55.5,2.56,5.58
2000,"Denmark",86,53.67,3.53,4.64
2001,"Denmark",87.1,54.19,0.7,4.83
2002,"Denmark",87.1,54.58,0.47,4.75
2003,"Denmark",87.1,55.07,0.38,5.6
2004,"Denmark",87.1,54.55,2.3,5.72
2005,"Denmark",84.5,52.79,2.45,5.02
2006,"Denmark",84.5,51.59,3.39,4.1
2007,"Denmark",86.6,50.81,1.58,4.01
2008,"Denmark",86.6,51.52,-0.78,3.38
2009,"Denmark",86.6,57.96,-5.83,6.11
2010,"Denmark",86.6,57.82,1.3,7.58
1960,"Finland",75,26.41,NA,1.46
1961,"Finland",75,25.57,7.61,1.22
1962,"Finland",85.1,27.58,2.98,1.3
1963,"Finland",85.1,28.9,3.28,1.49
1964,"Finland",85.1,30.38,5.24,1.52
1965,"Finland",85.1,30.84,5.3,1.38
1966,"Finland",84.9,32.3,2.37,1.51
1967,"Finland",84.9,33.37,2.17,2.91
1968,"Finland",84.9,33.34,2.3,3.96
1969,"Finland",84.9,31.92,9.59,2.84
1970,"Finland",82.2,31.02,7.47,1.9
1971,"Finland",82.2,32.65,2.06,2.27
1972,"Finland",81.4,33.09,7.6,2.54
1973,"Finland",81.4,32.05,6.6,2.31
1974,"Finland",81.4,32.3,3.07,1.73
1975,"Finland",73.8,38.68,1.07,2.25
1976,"Finland",73.8,40.09,0.17,3.9
1977,"Finland",73.8,41.69,0.6,5.93
1978,"Finland",73.8,41.35,2.5,7.28
1979,"Finland",75.3,40.45,6.72,5.99
1980,"Finland",75.3,40.35,5.09,4.69
1981,"Finland",75.3,41.38,1.27,4.91
1982,"Finland",75.3,43.07,3.1,5.4
1983,"Finland",75.7,44.7,3.07,5.48
1984,"Finland",75.7,44.75,2.99,5.24
1985,"Finland",75.7,46.7,3.23,5.05
1986,"Finland",75.7,47.36,2.75,5.39
1987,"Finland",72.1,47.84,3.62,5.11
1988,"Finland",72.1,46.38,5.15,4.57
1989,"Finland",72.1,44.5,5.42,3.11
1990,"Finland",72.1,48.25,0.14,3.19
1991,"Finland",72.1,57.19,-6,6.67
1992,"Finland",72.1,62.48,-3.48,11.73
1993,"Finland",72.1,64.89,-0.81,16.42
1994,"Finland",72.1,63.63,3.65,16.63
1995,"Finland",71.7,61.56,3.96,15.45
1996,"Finland",71.7,60.2,3.57,14.63
1997,"Finland",71.7,56.68,6.21,12.68
1998,"Finland",71.7,53.04,5.03,11.4
1999,"Finland",68.3,51.82,3.91,10.24
2000,"Finland",68.3,48.45,5.32,9.81
2001,"Finland",68.3,48.03,2.28,9.14
2002,"Finland",68.3,49.07,1.83,9.12
2003,"Finland",69.7,50.36,2.01,9.06
2004,"Finland",69.7,50.27,4.13,8.85
2005,"Finland",69.7,50.42,2.92,8.42
2006,"Finland",69.7,49.27,4.41,7.73
2007,"Finland",65,47.47,5.34,6.86
2008,"Finland",65,49.35,0.29,6.38
2009,"Finland",65,56.14,-8.35,8.28
2010,"Finland",65,55.59,3.73,8.42
1960,"France",77.2,NA,NA,1.29
1961,"France",77.2,NA,4.95,1.13
1962,"France",68.7,NA,6.72,1.28
1963,"France",68.7,61.56,6.28,1.41
1964,"France",68.7,56.59,6.35,1.13
1965,"France",68.7,52.91,4.81,1.4
1966,"France",68.7,52.22,5.28,1.44
1967,"France",81.1,50.79,4.91,1.91
1968,"France",80,48.34,4.41,2.41
1969,"France",80,43.29,7.15,2.08
1970,"France",80,39.23,6.15,2.23
1971,"France",80,38.83,5.31,2.44
1972,"France",80,39.05,4.64,2.54
1973,"France",81.3,39.01,6.56,2.43
1974,"France",81.3,39.64,4.7,2.56
1975,"France",81.3,43.01,-1.14,3.7
1976,"France",81.3,43.36,4.34,4.11
1977,"France",81.3,43.49,3.62,4.61
1978,"France",83.2,44.72,3.91,4.79
1979,"France",83.2,44.92,3.41,5.41
1980,"France",83.2,46,1.69,5.79
1981,"France",70.9,48.56,1.02,6.81
1982,"France",70.9,49.91,2.39,7.39
1983,"France",70.9,50.28,1.23,7.69
1984,"France",70.9,51.21,1.6,8.98
1985,"France",70.9,51.83,1.69,9.54
1986,"France",78.5,51.28,2.16,9.58
1987,"France",78.5,50.7,2.39,9.7
1988,"France",66.2,50.12,4.52,9.32
1989,"France",66.2,48.9,4.39,8.65
1990,"France",66.2,49.57,2.58,8
1991,"France",66.2,50.64,1.09,8.15
1992,"France",66.2,52.03,1.32,9.06
1993,"France",69.3,55.09,-0.66,10.14
1994,"France",69.3,54.11,2.21,10.71
1995,"France",69.3,54.37,2.17,10.12
1996,"France",69.3,54.49,1.04,10.67
1997,"France",68,54.19,2.17,10.73
1998,"France",68,52.75,3.41,10.22
1999,"France",68,52.65,3.18,9.81
2000,"France",68,51.64,3.87,8.37
2001,"France",68,51.63,1.79,7.56
2002,"France",64.4,52.84,0.94,7.71
2003,"France",64.4,53.37,0.89,8.33
2004,"France",64.4,53.34,2.35,8.71
2005,"France",64.4,53.63,1.87,8.73
2006,"France",64.4,52.93,2.66,8.66
2007,"France",60.4,52.6,2.23,7.87
2008,"France",60.4,53.33,-0.2,7.32
2009,"France",60.4,56.85,-2.97,9.09
2010,"France",60.4,56.81,1.59,9.32
1960,"Germany",87.8,32.71,NA,1.03
1961,"Germany",87.7,34.06,4.72,0.69
1962,"Germany",87.7,35.81,4.71,0.59
1963,"Germany",87.7,36.59,2.93,0.7
1964,"Germany",87.7,36.38,6.42,0.64
1965,"Germany",86.8,37.1,5.26,0.55
1966,"Germany",86.8,37.14,2.89,0.61
1967,"Germany",86.8,39,-0.25,1.77
1968,"Germany",86.8,39.26,5.54,1.25
1969,"Germany",86.7,38.66,7.46,0.69
1970,"Germany",86.7,38.43,5.04,0.57
1971,"Germany",86.7,39.91,3.01,0.7
1972,"Germany",91.1,41.06,4.27,0.93
1973,"Germany",91.1,41.57,4.97,1.01
1974,"Germany",91.1,44.7,1.01,2.16
1975,"Germany",91.1,48.7,-0.89,4.03
1976,"Germany",90.7,48.4,4.45,4
1977,"Germany",90.7,47.99,3.5,3.89
1978,"Germany",90.7,46.99,3.11,3.72
1979,"Germany",90.7,46.45,4.29,3.24
1980,"Germany",88.6,46.89,1.3,3.24
1981,"Germany",88.6,47.46,0.65,4.58
1982,"Germany",88.6,47.51,-0.51,6.54
1983,"Germany",88.4,46.58,1.47,8.05
1984,"Germany",88.4,45.82,2.91,7.21
1985,"Germany",88.4,45.08,2.6,7.3
1986,"Germany",88.4,44.4,2.27,6.57
1987,"Germany",84.3,45,1.28,6.31
1988,"Germany",84.3,44.65,3.44,6.29
1989,"Germany",84.3,43.11,4.05,5.62
1990,"Germany",77.8,43.55,5.47,4.78
1991,"Germany",77.8,46.1,5.2,5.64
1992,"Germany",77.8,47.19,1.5,6.7
1993,"Germany",77.8,48.2,-1.01,7.96
1994,"Germany",79,48.05,2.53,8.49
1995,"Germany",79,54.84,1.77,8.21
1996,"Germany",79,49.02,0.83,8.95
1997,"Germany",79,48.17,1.78,9.91
1998,"Germany",82.2,48.04,1.65,9.29
1999,"Germany",82.2,48.32,1.75,8.46
2000,"Germany",82.2,45.09,3.3,7.8
2001,"Germany",82.2,47.54,1.64,7.88
2002,"Germany",79.1,47.87,0.03,8.62
2003,"Germany",79.1,48.39,-0.38,9.32
2004,"Germany",79.1,47.22,0.7,10.34
2005,"Germany",77.7,46.98,0.83,11.24
2006,"Germany",77.7,45.33,3.89,10.33
2007,"Germany",77.7,43.45,3.39,8.71
2008,"Germany",77.7,44.1,0.81,7.56
2009,"Germany",70.8,48.13,-5.08,7.78
2010,"Germany",70.8,47.97,3.56,7.1
1960,"Greece",75.5,23.05,NA,6.1
1961,"Greece",81.9,22.72,13.2,5.91
1962,"Greece",81.9,23.8,0.36,5.07
1963,"Greece",83,22.25,11.84,4.98
1964,"Greece",81.7,22.9,9.41,4.65
1965,"Greece",81.7,22.44,10.77,4.82
1966,"Greece",81.7,23.62,6.49,5.01
1967,"Greece",NA,25.2,5.67,5.4
1968,"Greece",NA,25.75,7.2,5.58
1969,"Greece",NA,24.85,11.56,5.25
1970,"Greece",NA,24.22,8.93,4.16
1971,"Greece",NA,24.32,7.84,3.14
1972,"Greece",NA,24.38,10.16,2.11
1973,"Greece",NA,23.12,8.09,1.97
1974,"Greece",79.5,26.76,-6.44,2.05
1975,"Greece",79.5,27.57,6.37,2.29
1976,"Greece",79.5,27.53,6.85,1.91
1977,"Greece",81.1,28.7,2.94,1.69
1978,"Greece",81.1,28.63,7.25,1.83
1979,"Greece",81.1,29.11,3.28,1.9
1980,"Greece",81.1,29.25,0.68,2.75
1981,"Greece",81.5,34.07,-1.55,4.05
1982,"Greece",81.5,35.28,-1.13,5.78
1983,"Greece",81.5,37.22,-1.08,7.86
1984,"Greece",81.5,39.16,2.01,8.14
1985,"Greece",83.8,41.1,2.51,7.81
1986,"Greece",83.8,40.41,0.52,7.38
1987,"Greece",83.8,40.36,-2.26,7.36
1988,"Greece",83.8,39.31,4.29,7.67
1989,"Greece",84.3,40.58,3.8,7.46
1990,"Greece",84.5,44.87,0,7.03
1991,"Greece",84.5,41.77,3.1,7.65
1992,"Greece",84.5,44.24,0.7,8.68
1993,"Greece",78.2,46.54,-1.6,9.66
1994,"Greece",78.2,44.72,2,9.61
1995,"Greece",78.2,46.17,2.1,9.99
1996,"Greece",78.7,44.48,2.36,10.33
1997,"Greece",78.7,45.28,3.64,10.24
1998,"Greece",78.7,44.73,3.36,10.84
1999,"Greece",78.7,44.8,3.42,11.85
2000,"Greece",78.3,47.12,4.48,11.25
2001,"Greece",78.3,45.71,4.2,10.44
2002,"Greece",78.3,45.5,3.44,9.93
2003,"Greece",78.3,45.15,5.94,9.34
2004,"Greece",89.1,45.94,4.37,10.22
2005,"Greece",89.1,44.6,2.28,9.63
2006,"Greece",89.1,45.19,5.54,8.75
2007,"Greece",86.5,47.59,3,8.09
2008,"Greece",86.5,50.65,-0.16,7.23
2009,"Greece",82.9,53.81,-3.25,8.9
2010,"Greece",82.9,50.2,-3.52,11.83
1960,"Iceland",90.4,NA,NA,NA
1961,"Iceland",90.4,NA,-0.08,1.44
1962,"Iceland",90.4,NA,8.31,1.42
1963,"Iceland",91.1,NA,10.28,1.39
1964,"Iceland",91.1,NA,9.92,0.08
1965,"Iceland",91.1,NA,7.29,0.19
1966,"Iceland",91.1,NA,8.74,0.19
1967,"Iceland",91.4,NA,-1.27,0.38
1968,"Iceland",91.4,NA,-5.47,1.31
1969,"Iceland",91.4,NA,2.37,2.45
1970,"Iceland",91.4,31.1,7.46,1.28
1971,"Iceland",90.4,33.78,13.06,0.65
1972,"Iceland",90.4,34.77,6.18,0.5
1973,"Iceland",90.4,34.63,6.81,0.4
1974,"Iceland",91.4,37.43,5.71,0.39
1975,"Iceland",91.4,37.53,0.65,0.48
1976,"Iceland",91.4,33.06,5.96,0.49
1977,"Iceland",91.4,32.64,8.82,0.29
1978,"Iceland",90.3,32.86,6.02,0.33
1979,"Iceland",89.3,33.43,4.86,0.37
1980,"Iceland",89.3,32.96,5.75,0.31
1981,"Iceland",89.3,34.36,4.27,0.36
1982,"Iceland",89.3,35.02,2.15,0.67
1983,"Iceland",88.6,36.55,-2.15,1.02
1984,"Iceland",88.6,33.18,4.13,1.25
1985,"Iceland",88.6,35.45,3.29,0.91
1986,"Iceland",88.6,37.8,6.27,0.66
1987,"Iceland",90.1,34.71,8.55,0.44
1988,"Iceland",90.1,39.35,-0.09,0.64
1989,"Iceland",90.1,40.79,0.26,1.66
1990,"Iceland",90.1,38.87,1.17,1.76
1991,"Iceland",87.6,40.06,-0.22,2.55
1992,"Iceland",87.6,40.54,-3.37,4.31
1993,"Iceland",87.6,40.37,1.31,5.26
1994,"Iceland",87.6,39.94,3.61,5.33
1995,"Iceland",87.4,42.7,0.12,4.86
1996,"Iceland",87.4,42.21,4.79,3.72
1997,"Iceland",87.4,40.69,4.91,3.88
1998,"Iceland",87.4,41.3,6.32,2.74
1999,"Iceland",84.1,42.05,4.09,2.01
2000,"Iceland",84.1,41.87,4.32,2.31
2001,"Iceland",84.1,42.6,3.92,2.26
2002,"Iceland",84.1,44.25,0.14,3.25
2003,"Iceland",87.7,45.61,2.43,3.35
2004,"Iceland",87.7,43.99,7.84,3.06
2005,"Iceland",87.7,42.25,7.23,2.59
2006,"Iceland",87.7,41.64,4.71,2.88
2007,"Iceland",83.6,42.27,5.99,2.3
2008,"Iceland",83.6,57.61,1.27,2.99
2009,"Iceland",85.1,51.05,-6.81,7.24
2010,"Iceland",85.1,51.61,-4.02,7.56
1960,"Ireland",71.3,29.44,NA,5.68
1961,"Ireland",70.6,31.77,5.02,6.39
1962,"Ireland",70.6,32.01,3.21,4.88
1963,"Ireland",70.6,34,4.75,5.03
1964,"Ireland",70.6,35.21,3.79,4.75
1965,"Ireland",75.1,36.19,1.93,4.59
1966,"Ireland",75.1,37.27,0.89,5.92
1967,"Ireland",75.1,39.71,5.79,5.05
1968,"Ireland",75.1,40.45,8.24,5.38
1969,"Ireland",76.9,42.98,5.86,5.03
1970,"Ireland",76.9,44.59,2.66,5.86
1971,"Ireland",76.9,45.8,3.47,6.88
1972,"Ireland",76.9,41.92,6.49,6.21
1973,"Ireland",76.6,40.72,4.72,5.71
1974,"Ireland",76.6,44.76,4.26,5.39
1975,"Ireland",76.6,48.7,5.66,9.33
1976,"Ireland",76.6,48.32,1.39,9.09
1977,"Ireland",76.3,45.03,8.21,8.81
1978,"Ireland",76.3,46.69,7.19,8.29
1979,"Ireland",76.3,49.17,3.07,6.83
1980,"Ireland",76.3,54.26,3.08,7.39
1981,"Ireland",76.2,54.67,3.33,10.5
1982,"Ireland",72.8,57.28,2.28,11.55
1983,"Ireland",72.8,56.14,-0.24,14.04
1984,"Ireland",72.8,53.23,4.35,15.6
1985,"Ireland",72.8,53.87,3.09,16.74
1986,"Ireland",72.8,53.57,-0.43,17.15
1987,"Ireland",73.3,52.01,4.66,16.97
1988,"Ireland",73.3,48.44,5.22,16.38
1989,"Ireland",68.5,42.66,5.81,15.19
1990,"Ireland",68.5,42.38,8.47,13.03
1991,"Ireland",68.5,43.95,1.93,14.76
1992,"Ireland",68.5,44.37,3.34,15.17
1993,"Ireland",68.5,44.17,2.69,15.79
1994,"Ireland",68.5,43.47,5.76,14.82
1995,"Ireland",68.5,40.94,9.63,12.24
1996,"Ireland",68.5,38.95,7.6,11.95
1997,"Ireland",65.9,36.54,10.92,10.39
1998,"Ireland",65.9,34.36,7.84,7.86
1999,"Ireland",65.9,33.92,9.9,5.94
2000,"Ireland",65.9,31.19,9.29,4.53
2001,"Ireland",65.9,33.02,4.83,3.86
2002,"Ireland",62.7,33.35,5.88,4.46
2003,"Ireland",62.7,33.12,4.16,4.61
2004,"Ireland",62.7,33.49,4.52,4.54
2005,"Ireland",62.7,33.76,5.33,4.71
2006,"Ireland",62.7,34.26,5.33,4.6
2007,"Ireland",67,36.61,5.17,4.67
2008,"Ireland",67,42.82,-2.98,5.68
2009,"Ireland",67,48.83,-7,12.04
2010,"Ireland",67,66.78,-0.43,13.69
1960,"Italy",93.7,28.49,NA,5.66
1961,"Italy",93.7,27.56,8.21,5.16
1962,"Italy",93.7,28.59,6.2,4.56
1963,"Italy",92.9,29.21,5.61,3.88
1964,"Italy",92.9,29.89,2.8,4.34
1965,"Italy",92.9,32.13,3.27,5.4
1966,"Italy",92.9,32.05,5.98,5.88
1967,"Italy",92.9,31.53,7.18,5.42
1968,"Italy",92.8,32.59,6.54,5.73
1969,"Italy",92.8,32.03,6.1,5.72
1970,"Italy",92.8,32.3,5.31,5.47
1971,"Italy",92.8,34.35,1.93,5.47
1972,"Italy",93.2,36.33,3.15,6.43
1973,"Italy",93.2,35.23,6.55,6.42
1974,"Italy",93.2,34.75,5.28,5.42
1975,"Italy",93.2,39.08,-2.05,5.92
1976,"Italy",93.4,38.08,6.53,6.75
1977,"Italy",93.4,38.46,2.36,7.21
1978,"Italy",93.4,40.86,3.65,7.28
1979,"Italy",91.1,40.11,5.53,7.75
1980,"Italy",91.1,40.55,3.48,7.66
