"DayOfWeekStr","starttime","endtime","PermitLocation","optionaltext","ColdTruck","Applicant","Location"
"Friday","12PM","1PM","1150 FRANCISCO ST","Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks","Y","D & T Catering","(37.8033613224352,-122.424123509274)"
"Friday","12PM","1PM","1801 EVANS AVE","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.745078648302,-122.392261844141)"
"Friday","12PM","1PM","535 MINNESOTA ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7637507401569,-122.390705976388)"
"Friday","10AM","11AM","1335 YOSEMITE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7239376882365,-122.386832585234)"
"Friday","9AM","11AM","1650 03RD ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.76833824373,-122.389400461508)"
"Friday","8AM","9AM","Assessors Block 4341/Lot001","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7489503634271,-122.401493189708)"
"Friday","8AM","5PM","58 MAIN ST","Vietnamese sandwiches, spring rolls, bottle water, can soda, chicken and shrimp rice noodles, rice with chicken, chicken salad, noodle soup.","N","The Sandwich Stand, LLC.","(37.7923326412243,-122.395649033197)"
"Friday","3PM","4PM","2090 EVANS AVE","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7482492881932,-122.396524546777)"
"Friday","3PM","8PM","368 FELL ST","Artisan Pizzas (Margherita, Yukon Potato, Zoe's Pepperoni, Funghi, Brocolli Rabe, Bacon Kale,  Arugula) and Drinks.","N","Casey's Pizza, LLC","(37.7758704298588,-122.423847229106)"
"Friday","11AM","12PM","355 FREMONT ST","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7873606094505,-122.392701953926)"
"Friday","8AM","3PM","670 05TH ST","Everything","N","Off the Grid Services, LLC","(37.7756456857724,-122.397696734316)"
"Friday","4PM","5PM","1600 DONNER AVE","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7244499679315,-122.393984693201)"
"Friday","4PM","5PM","195 KISKA RD","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7299854741476,-122.376954714967)"
"Friday","5PM","6PM","360 PENINSULA AVE","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7110500071211,-122.39934738525)"
"Friday","10AM","2PM","2600 INGALLS ST","Corndogs, fried burrito, rice placet, soda, water, sandwiches, soup, noodle plates","N","Eva's Catering","(37.7228645657946,-122.389692712248)"
"Friday","12PM","3AM","2601 MISSION ST","Soda, chips, energy drinks, hot dogs, bacon-wrapped hot dogs, fruit, corn","N","Julie's Hot Dogs","(37.7553930872542,-122.418673985373)"
"Friday","11AM","2PM","225 BUSH ST","Chicken Tiki Masala Burritos, Paneer Tiki Masala Burritos, Samosas, Mango Lassi","N","Curry Up Now","(37.7910703986756,-122.401145196973)"
"Friday","9AM","10PM","2598 HARRISON ST","Tacos, Burritos, Tortas, Quesadillas, Mexican Drinks, Aguas Frescas","N","Santana ESG, Inc.","(37.7558763209725,-122.412271386632)"
"Friday","1PM","2PM","180 NEW MONTGOMERY ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7863630776208,-122.399264358097)"
"Friday","1PM","3PM","1377 FELL ST","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7736321199408,-122.44051423368)"
"Friday","1PM","2PM","2300 CESAR CHAVEZ ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7496104682221,-122.399429343357)"
"Friday","4PM","5PM","66 POTRERO AVE","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7686648241945,-122.407903224274)"
"Friday","4PM","5PM","66 POTRERO AVE","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7686648241945,-122.407903224274)"
"Friday","10AM","11AM","444 TOWNSEND ST","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7745761256077,-122.398261747293)"
"Friday","10AM","12PM","222 02ND ST","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies","Y","Quan Catering","(37.7864296546035,-122.398069300142)"
"Friday","10AM","11AM","401 HARRISON ST","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.786705596962,-122.392030655401)"
"Friday","10AM","11AM","1455 BANCROFT AVE","Cold Truck: Cheeseburgers, Burgers, Chicken Bake, Chili Dogs, Hot Dogs, Corn Dogs, Cup of Noodles, Egg Muffins, Tamales, Hot Sandwiches Quesadillas, Gatorade, Juice, Soda, Mikl, Coffee, Hot Cocoa, Hot Tea, Flan, Fruits, Fruit Salad, Yogurt, Candy, Chips,  Donuts, Cookies, Granola, Muffins & Various Drinks & Pre-Packaged Snacks.","Y","Bach Catering","(37.7240189919943,-122.390118463974)"
"Friday","12PM","2PM","532 FOLSOM ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7863927555352,-122.395726074077)"
"Friday","10AM","11AM","2201 VALLEJO ST","Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks","Y","D & T Catering","(37.7953746521913,-122.433507424647)"
"Friday","10AM","11AM","409 ILLINOIS ST","Cold Truck: Hot & Cold Sandwiches, Bagels, Burritos, Soups, Hot Dogs, Tacos, Pork Buns, BBQ Meat, Fruit, Various Beverages, Pasties, Pre-Packaged Snacks, Candy, Salads, Muffins, Scones, Brownies, Croissants, Energy Bars, Noodle Bowls","Y","Two G's Catering","(37.7667867792956,-122.388078331989)"
"Friday","10AM","2PM","500 HOWARD ST","St. Louis Style Ribs, Pulled Pork Sandwich, Smoked Brisket, Smoked Chicken Drumsticks, Spinach Salad, Cole Slaw, Baked Beans, Mashed Potatoes, Grilled Asparagus, Mac & Cheese, Potato Salad, Buttermil Pie, Soda, Water","N","Covered Dish Productions, LLC. dba. The Rib Whip","(37.7885298177102,-122.396140544185)"
"Friday","10AM","11AM","2000 FOLSOM ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7652922254458,-122.415375651896)"
"Friday","1PM","2PM","1310 MINNESOTA ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7538342401608,-122.389912147781)"
"Friday","8AM","10AM","1500 TENNESSEE ST","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7523560542966,-122.388784980412)"
"Friday","10AM","11AM","1500 TENNESSEE ST","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7523560542966,-122.388784980412)"
"Friday","10AM","11AM","701 16TH ST","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7666322775493,-122.392728509584)"
"Friday","11AM","12PM","1160 REVERE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7269806226365,-122.381785388427)"
"Friday","11AM","12PM","601 CRESCENT AVE","Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks","Y","Golden Catering","(37.7348787351337,-122.415531470861)"
"Friday","11AM","12PM","3000 03RD ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.751548491531,-122.387718127295)"
"Friday","11AM","12PM","2200 CESAR CHAVEZ ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7496706104363,-122.398431642605)"
"Friday","11AM","12PM","1550 EVANS AVE","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7425490595565,-122.387326932203)"
"Friday","11AM","12PM","3255 03RD ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.748203685056,-122.387245352135)"
"Friday","11AM","12PM","2800 03RD ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7541031367651,-122.387962966002)"
"Friday","11AM","12PM","1090 26TH ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7514511815096,-122.390465773031)"
"Friday","11AM","12PM","2301 HARRISON ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7603214583917,-122.412573240495)"
"Friday","11AM","12PM","1575 INDIANA ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.750453803667,-122.390398059007)"
"Friday","12PM","1PM","2150 HARRISON ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7628501796944,-122.412966144746)"
"Friday","12PM","1PM","2200 OFARRELL ST","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7822802514051,-122.44098487304)"
"Friday","12PM","1PM","1801 EVANS AVE","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.745078648302,-122.392261844141)"
"Friday","7AM","8AM","1335 YOSEMITE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7239376882365,-122.386832585234)"
"Friday","11AM","3PM","180 NEW MONTGOMERY ST","Tacos, burritos, quesadillas","N","Plaza Garibaldy","(37.7863630776208,-122.399264358097)"
"Friday","12PM","1PM","1575 BURKE AVE","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7446858481632,-122.386571458803)"
"Friday","11AM","2PM","120 02ND ST","Filipino fusion food: taco, burrito, nachos, rice plates","N","Senor Sisig","(37.7876871932612,-122.399490236599)"
"Friday","6AM","8AM","Assessors Block 4341/Lot001","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7489503634271,-122.401493189708)"
"Friday","5PM","9PM","225 POST ST","Multiple Trucks","N","The Whole Cart","(37.788589113579,-122.405613673233)"
"Friday","2PM","3PM","1550 WALLACE AVE","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7270006086593,-122.390150411037)"
"Friday","9PM","12AM","1501 FOLSOM ST","Tacos, burritos, soda & juice","N","GOZA GOZA TACO","(37.771814022357,-122.413989317366)"
"Friday","11AM","9PM","97 01ST ST","smoked sausages, deer, wild boar, pheasant, buffalo, beef, turkey, coleslaw, vegetarian baked beans","N","Missing Link SF","(37.7898310241126,-122.397562684622)"
"Friday","8AM","4PM","525 MARKET ST","Hot Indian Chai","N","The Chai Cart","(37.7904940956493,-122.399633341677)"
"Friday","8AM","8PM","1275 EVANS AVE","Tacos, burritos, quesadillas, soda & water","N","Tacos Rodriguez","(37.7394652718683,-122.382463242698)"
"Friday","7AM","4PM","1800 EVANS AVE","Burritos, tacos, quesadillas, and tortas","N","Tacos Esmeralda","(37.7451679475044,-122.392181270945)"
"Friday","11PM","12AM","400 05TH ST","Italian subs, Cuban sandwich, Gyro","N","Subs on Hubs","(37.7789806675378,-122.401876399982)"
"Friday","10AM","11AM","2130 HARRISON ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7631162577319,-122.412988853417)"
"Friday","12PM","1PM","1345 TURK ST","Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks","Y","Munch A Bunch","(37.7805621947803,-122.431189105466)"
"Friday","10AM","9PM","2101 CARROLL AVE","Tacos, Burritos , Tortas, Quesadillas & Beverages","N","Tacos Santana","(37.7302332323588,-122.402759048478)"
"Friday","12PM","1PM","299 ILLINOIS ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering",NA
"Friday","10AM","11AM","1500 WALLACE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7264916637361,-122.389253644975)"
"Friday","10AM","12PM","532 FOLSOM ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7863927555352,-122.395726074077)"
"Friday","10AM","11AM","164 14TH ST","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.7685079333296,-122.417013921855)"
"Friday","1PM","2PM","3335 17TH ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7633319911646,-122.420235403432)"
"Friday","10AM","11AM","1525 BRYANT ST","Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks","Y","Munch A Bunch","(37.7678503715903,-122.41063025867)"
"Friday","10AM","11AM","3839 WASHINGTON ST","Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks","Y","D & T Catering","(37.7887517683903,-122.45623065616)"
"Friday","9AM","10AM","931 PALOU AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7267339112889,-122.378972003992)"
"Friday","10AM","11AM","1310 MINNESOTA ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7538342401608,-122.389912147781)"
"Friday","10AM","11AM","2045 EVANS AVE","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7477067391559,-122.396413656839)"
"Friday","10AM","11AM","1540 PINE ST","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.7895884629627,-122.421183529217)"
"Friday","10AM","11AM","2401 BAY SHORE BLVD","Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks","Y","Golden Catering","(37.7111783070436,-122.403573115181)"
"Friday","11AM","12PM","3040 HARRISON ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7490358344714,-122.411623966472)"
"Friday","11AM","12PM","3040 HARRISON ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7490358344714,-122.411623966472)"
"Friday","11AM","12PM","131 SHOTWELL ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7663593026796,-122.41644564135)"
"Friday","11AM","12PM","1000 EVANS AVE","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7365999870093,-122.377204056226)"
"Friday","11AM","1PM","409 ILLINOIS ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7667867792956,-122.388078331989)"
"Friday","11AM","5PM","1700 JERROLD AVE","Tacos, Burritos , Tortas, Quesadillas & Beverages","N","Tacos Santana","(37.7399293110874,-122.391283611001)"
"Friday","11AM","12PM","1040 MARIPOSA ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7640523949866,-122.394139809417)"
"Friday","11AM","2PM","2200 HAYES ST","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.7731540275458,-122.452684612088)"
"Friday","12PM","10PM","260 TOWNSEND ST","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water","N","Linda's Catering","(37.777844286068,-122.394123606062)"
"Friday","12PM","1PM","951 INDIANA ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7584408101697,-122.391167953092)"
"Friday","3PM","6PM","1200 MISSISSIPPI ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7508581374316,-122.394102374471)"
"Friday","12PM","1PM","435 23RD ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7555059783625,-122.385220879126)"
"Friday","12PM","1PM","435 23RD ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7555059783625,-122.385220879126)"
"Friday","12PM","1PM","2900 GRIFFITH ST","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7169690643397,-122.389355637131)"
"Friday","12PM","1PM","1082 PENNSYLVANIA AVE","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7527217661049,-122.392725753817)"
"Friday","12PM","1PM","400 ALEMANY BLVD","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7332557262018,-122.413998779197)"
"Friday","12PM","1PM","800 JAMESTOWN AVE","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7162121435373,-122.389968007493)"
"Friday","12PM","1PM","2157 BRYANT ST","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.7597465483315,-122.409865798217)"
"Friday","9AM","11AM","1650 03RD ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.76833824373,-122.389400461508)"
"Friday","7AM","8AM","1575 BURKE AVE","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7446858481632,-122.386571458803)"
"Friday","2PM","3PM","1101 PALOU AVE","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.72866509729,-122.381660626351)"
