"player","team","position","height","weight","age","experience","salary"
"James Young","BOS","SG",78,215,21,2,1825200
"JaMychal Green","MEM","PF",81,227,26,2,980431
"Jared Dudley","PHO","PF",79,225,31,9,10470000
"Jarell Martin","MEM","PF",82,239,22,1,1286160
"Jarrod Uthoff","DAL","PF",81,221,23,0,63938
"Jason Smith","WAS","C",84,245,30,8,5e+06
"Jason Terry","MIL","SG",74,185,39,17,1551659
"JaVale McGee","GSW","C",84,270,29,8,1403611
"Jaylen Brown","BOS","SF",79,225,20,0,4743000
"Jeff Green","ORL","PF",81,235,30,8,1.5e+07
"Jeff Teague","IND","PG",74,186,28,7,8800000
"Jeff Withey","UTA","C",84,231,26,3,1015696
"Jerami Grant","OKC","SF",80,210,22,2,980431
"Jeremy Lamb","CHO","SG",77,185,24,4,6511628
"Jeremy Lin","BRK","PG",75,200,28,6,11483254
"Jerian Grant","CHI","PG",76,195,24,1,1643040
"Jerryd Bayless","PHI","PG",75,200,28,8,9424084
"Jimmy Butler","CHI","SF",79,220,27,5,17552209
"Joakim Noah","NYK","C",83,230,31,9,1.7e+07
"Jodie Meeks","ORL","SG",76,210,29,7,6540000
"Joe Harris","BRK","SG",78,219,25,2,980431
"Joe Ingles","UTA","SF",80,226,29,2,2250000
"Joe Johnson","UTA","SF",79,240,35,15,1.1e+07
"Joe Young","IND","PG",74,180,24,1,1052342
"Joel Anthony","SAS","C",81,245,34,9,165952
"Joel Bolomboy","UTA","PF",81,235,23,0,6e+05
"Joel Embiid","PHI","C",84,250,22,0,4826160
"Joffrey Lauvergne","CHI","C",83,220,25,2,1709720
"John Henson","MIL","C",83,229,26,4,12517606
"John Wall","WAS","PG",76,195,26,6,16957900
"Johnny O'Bryant","CHO","PF",81,257,23,2,161483
"Jon Leuer","DET","PF",82,228,27,5,10991957
"Jonas Jerebko","BOS","PF",82,231,29,6,5e+06
"Jonas Valanciunas","TOR","C",84,265,24,4,14382022
"Jonathon Simmons","SAS","SG",78,195,27,1,874636
"Jordan Clarkson","LAL","SG",77,194,24,2,12500000
"Jordan Crawford","NOP","SG",76,195,28,4,173094
"Jordan Hill","MIN","C",82,235,29,7,3911380
"Jordan Mickey","BOS","PF",80,235,22,1,1223653
"Jose Calderon","ATL","PG",75,200,35,11,392478
"Josh Huestis","OKC","PF",79,230,25,1,1191480
"Josh McRoberts","MIA","PF",82,240,29,9,5782450
"Josh Richardson","MIA","SG",78,200,23,1,874636
"Jrue Holiday","NOP","PG",76,205,26,7,11286518
"Juan Hernangomez","DEN","PF",81,230,21,0,1987440
"Julius Randle","LAL","PF",81,250,22,2,3267120
"Justin Anderson","PHI","SF",78,228,23,1,1514160
"Justin Hamilton","BRK","C",84,260,26,2,3e+06
"Justin Holiday","NYK","SG",78,185,27,3,1015696
"Justise Winslow","MIA","SF",79,225,20,1,2593440
"Jusuf Nurkic","POR","C",84,280,22,2,1921320
"K.J. McDaniels","BRK","SF",78,205,23,2,3333333
"Karl-Anthony Towns","MIN","C",84,244,21,1,5960160
"Kawhi Leonard","SAS","SF",79,230,25,5,17638063
"Kay Felder","CLE","PG",69,176,21,0,543471
"Kelly Olynyk","BOS","C",84,238,25,3,3094014
"Kemba Walker","CHO","PG",73,172,26,5,1.2e+07
"Kenneth Faried","DEN","PF",80,228,27,5,12078652
"Kent Bazemore","ATL","SF",77,201,27,4,15730338
"Kentavious Caldwell-Pope","DET","SG",77,205,23,3,3678319
"Kevin Durant","GSW","SF",81,240,28,9,26540100
"Kevin Love","CLE","PF",82,251,28,8,21165675
"Kevin Seraphin","IND","PF",81,285,27,6,1800000
"Kevon Looney","GSW","C",81,220,20,1,1182840
"Khris Middleton","MIL","SF",80,234,25,4,15200000
"Klay Thompson","GSW","SG",79,215,26,5,16663575
"Kosta Koufos","SAC","C",84,265,27,8,8046500
"Kris Dunn","MIN","PG",76,210,22,0,3872520
"Kris Humphries","ATL","PF",81,235,31,12,4e+06
"Kristaps Porzingis","NYK","PF",87,240,21,1,4317720
"Kyle Anderson","SAS","SG",81,230,23,2,1192080
"Kyle Korver","CLE","SG",79,212,35,13,5239437
"Kyle Lowry","TOR","PG",72,205,30,10,1.2e+07
"Kyle O'Quinn","NYK","C",82,250,26,4,3900000
"Kyle Singler","OKC","SF",80,228,28,4,4837500
"Kyle Wiltjer","HOU","PF",82,240,24,0,543471
"Kyrie Irving","CLE","PG",75,193,24,5,17638063
"LaMarcus Aldridge","SAS","PF",83,260,31,10,20575005
"Lance Stephenson","IND","SG",77,230,26,6,4e+06
"Lance Thomas","NYK","PF",80,235,28,5,6191000
"Langston Galloway","SAC","PG",74,200,25,2,5200000
"Larry Nance Jr.","LAL","PF",81,230,24,1,1207680
"Lavoy Allen","IND","PF",81,260,27,5,4e+06
"Leandro Barbosa","PHO","SG",75,194,34,13,4e+06
"LeBron James","CLE","SF",80,250,32,13,30963450
"Lou Williams","HOU","SG",73,175,30,11,7e+06
"Luc Mbah a Moute","LAC","SF",80,230,30,8,2203000
"Lucas Nogueira","TOR","C",84,241,24,2,1921320
"Luke Babbitt","MIA","SF",81,225,27,6,1227000
"Luol Deng","LAL","SF",81,220,31,12,1.8e+07
"Malachi Richardson","SAC","SG",78,205,21,0,1439880
"Malcolm Brogdon","MIL","SG",77,215,24,0,925000
"Malcolm Delaney","ATL","PG",75,190,27,0,2500000
"Malik Beasley","DEN","SG",77,196,20,0,1627320
"Manu Ginobili","SAS","SG",78,205,39,14,1.4e+07
"Marc Gasol","MEM","C",85,255,32,8,21165675
"Marcin Gortat","WAS","C",83,240,32,9,1.2e+07
"Marco Belinelli","CHO","SG",77,210,30,9,6333333
"Marcus Georges-Hunt","ORL","SG",77,216,22,0,31969
"Marcus Morris","DET","SF",81,235,27,5,4625000
"Marcus Smart","BOS","SG",76,220,22,2,3578880
"Mario Hezonja","ORL","SF",80,215,21,1,3909840
"Markieff Morris","WAS","PF",82,245,27,5,7400000
"Marquese Chriss","PHO","PF",82,233,19,0,2941440
"Marreese Speights","LAC","C",82,255,29,8,1403611
"Marshall Plumlee","NYK","C",84,250,24,0,543471
"Marvin Williams","CHO","PF",81,237,30,11,12250000
"Mason Plumlee","DEN","C",83,245,26,3,2328530
"Matt Barnes","GSW","SF",79,226,36,13,383351
"Matthew Dellavedova","MIL","PG",76,198,26,3,9607500
"Maurice Harkless","POR","SF",81,215,23,4,8988764
"Maurice Ndour","NYK","PF",81,200,24,0,543471
"Metta World Peace","LAL","SF",78,260,37,16,1551659
"Meyers Leonard","POR","PF",85,245,24,4,9213484
"Michael Beasley","MIL","PF",81,235,28,8,1403611
"Michael Carter-Williams","CHI","PG",78,190,25,3,3183526
"Michael Gbinije","DET","SG",79,200,24,0,650000
"Michael Kidd-Gilchrist","CHO","SF",79,232,23,4,1.3e+07
"Mike Conley","MEM","PG",73,175,29,9,26540100
"Mike Dunleavy","ATL","SF",81,230,36,14,4837500
"Mike Miller","DEN","SF",80,218,36,16,3500000
"Mike Muscala","ATL","C",83,240,25,3,1015696
"Miles Plumlee","CHO","C",83,249,28,4,12500000
"Mindaugas Kuzminskas","NYK","SF",81,215,27,0,2898000
"Mirza Teletovic","MIL","PF",81,242,31,4,10500000
"Monta Ellis","IND","SG",75,185,31,11,10770000
"Montrezl Harrell","HOU","C",80,240,23,1,1e+06
"Myles Turner","IND","C",83,243,20,1,2463840
"Nemanja Bjelica","MIN","PF",82,240,28,1,3800000
"Nerlens Noel","DAL","C",83,228,22,2,4384490
"Nick Collison","OKC","PF",82,255,36,12,3750000
"Nick Young","LAL","SG",79,210,31,9,5443918
"Nicolas Batum","CHO","SG",80,200,28,8,20869566
"Nicolas Brussino","DAL","SF",79,195,23,0,543471
"Nik Stauskas","PHI","SG",78,205,23,2,2993040
"Nikola Jokic","DEN","C",82,250,21,1,1358500
"Nikola Mirotic","CHI","PF",82,220,25,2,5782450
"Nikola Vucevic","ORL","C",84,260,26,5,11750000
"Noah Vonleh","POR","PF",82,240,21,2,2751360
"Norman Powell","TOR","SG",76,215,23,1,874636
"Norris Cole","OKC","PG",74,175,28,5,247991
"Okaro White","MIA","PF",80,204,24,0,210995
"Omer Asik","NOP","C",84,255,30,6,9904494
"Omri Casspi","MIN","SF",81,225,28,7,138414
"Otto Porter","WAS","SF",80,198,23,3,5893981
"P.J. Tucker","TOR","SF",78,245,31,5,5300000
"Pascal Siakam","TOR","PF",81,230,22,0,1196040
"Pat Connaughton","POR","SG",77,206,24,1,874636
"Patricio Garino","ORL","SG",78,210,23,0,31969
"Patrick Beverley","HOU","SG",73,185,28,4,6e+06
"Patrick McCaw","GSW","SG",79,185,21,0,543471
"Patrick Patterson","TOR","PF",81,230,27,6,6050000
"Patty Mills","SAS","PG",72,185,28,7,3578948
"Pau Gasol","SAS","C",84,250,36,15,15500000
"Paul George","IND","SF",81,220,26,6,18314532
"Paul Millsap","ATL","PF",80,246,31,10,20072033
"Paul Pierce","LAC","SF",79,235,39,18,3500000
"Paul Zipser","CHI","SF",80,215,22,0,750000
"Quincy Acy","BRK","PF",79,240,26,4,1790902
"Quinn Cook","NOP","PG",74,184,23,0,63938
"Rajon Rondo","CHI","PG",73,186,30,10,1.4e+07
"Rakeem Christmas","IND","PF",81,250,25,1,1052342
"Ramon Sessions","CHO","PG",75,190,30,9,6e+06
"Randy Foye","BRK","SG",76,213,33,10,2500000
"Rashad Vaughn","MIL","SG",78,202,20,1,1811040
"Raul Neto","UTA","PG",73,179,24,1,937800
"Raymond Felton","LAC","PG",73,205,32,11,1551659
"Reggie Bullock","DET","SF",79,205,25,3,2255644
"Reggie Jackson","DET","PG",75,208,26,5,14956522
"Richard Jefferson","CLE","SF",79,233,36,15,2500000
"Richaun Holmes","PHI","C",82,245,23,1,1025831
"Ricky Rubio","MIN","PG",76,194,26,5,13550000
"Robert Covington","PHI","SF",81,215,26,3,1015696
"Robin Lopez","CHI","C",84,255,28,8,13219250
"Rodney Hood","UTA","SG",80,206,24,2,1406520
"Rodney McGruder","MIA","SG",76,205,25,0,543471
"Ron Baker","NYK","SG",76,220,23,0,543471
"Rondae Hollis-Jefferson","BRK","SF",79,220,22,1,1395600
"Ronnie Price","PHO","PG",74,190,33,11,282595
"Roy Hibbert","DEN","C",86,270,30,8,5e+06
"Rudy Gay","SAC","SF",80,230,30,10,13333333
"Rudy Gobert","UTA","C",85,245,24,3,2121288
"Russell Westbrook","OKC","PG",75,200,28,8,26540100
"Ryan Anderson","HOU","PF",82,240,28,8,18735364
"Ryan Kelly","ATL","PF",83,230,25,3,418228
"Salah Mejri","DAL","C",85,245,30,1,874636
"Sam Dekker","HOU","SF",81,230,22,1,1720560
"Sasha Vujacic","NYK","SG",79,195,32,9,1410598
"Sean Kilpatrick","BRK","SG",76,210,27,2,980431
"Semaj Christon","OKC","PG",75,190,24,0,543471
"Serge Ibaka","TOR","PF",82,235,27,7,12250000
"Sergio Rodriguez","PHI","PG",75,176,30,4,8e+06
"Seth Curry","DAL","PG",74,185,26,3,2898000
"Shabazz Muhammad","MIN","SF",78,223,24,3,3046299
"Shabazz Napier","POR","PG",73,175,25,2,1350120
"Shaun Livingston","GSW","PG",79,192,31,11,5782450
"Shawn Long","PHI","C",81,255,24,0,89513
"Sheldon McClellan","WAS","SG",77,200,24,0,543471
"Shelvin Mack","UTA","PG",75,203,26,5,2433334
"Skal Labissiere","SAC","PF",83,225,20,0,1188840
"Solomon Hill","NOP","SF",79,225,25,3,11241218
"Spencer Dinwiddie","BRK","PG",78,200,23,2,726672
"Spencer Hawes","MIL","PF",85,245,28,9,6348759
"Stanley Johnson","DET","SF",79,245,20,1,2969880
"Stephen Curry","GSW","PG",75,190,28,7,12112359
"Stephen Zimmerman","ORL","C",84,240,20,0,950000
"Steven Adams","OKC","C",84,255,23,3,3140517
"T.J. McConnell","PHI","PG",74,200,24,1,874636
"T.J. Warren","PHO","SF",80,230,23,2,2128920
"Taj Gibson","OKC","PF",81,225,31,7,8950000
"Tarik Black","LAL","C",81,250,25,2,6191000
"Terrence Ross","ORL","SF",79,206,25,4,1e+07
"Terry Rozier","BOS","PG",74,190,22,1,1906440
"Thabo Sefolosha","ATL","SF",79,220,32,10,3850000
"Thaddeus Young","IND","PF",80,221,28,9,14153652
"Thomas Robinson","LAL","PF",82,237,25,4,1050961
"Thon Maker","MIL","C",85,216,19,0,2568600
"Tiago Splitter","PHI","C",83,245,32,6,8550000
"Tim Frazier","NOP","PG",73,170,26,2,2090000
"Tim Hardaway","ATL","SG",78,205,24,3,2281605
"Tim Quarterman","POR","SG",78,195,22,0,543471
"Timofey Mozgov","LAL","C",85,275,30,6,1.6e+07
"Timothe Luwawu-Cabarrot","PHI","SF",78,205,21,0,1326960
"Tobias Harris","DET","PF",81,235,24,5,17200000
"Tomas Satoransky","WAS","SG",79,210,25,0,2870813
"Tony Allen","MEM","SG",76,213,35,12,5505618
"Tony Parker","SAS","PG",74,185,34,15,14445313
"Tony Snell","MIL","SG",79,200,25,3,2368327
"Treveon Graham","CHO","SG",78,220,23,0,543471
"Trevor Ariza","HOU","SF",80,215,31,12,7806971
"Trevor Booker","BRK","PF",80,228,29,6,9250000
"Trey Burke","WAS","PG",73,191,24,3,3386598
"Trey Lyles","UTA","PF",82,234,21,1,2340600
"Tristan Thompson","CLE","C",81,238,25,5,15330435
"Troy Daniels","MEM","SG",76,205,25,3,3332940
"Troy Williams","HOU","SF",79,218,22,0,150000
"Ty Lawson","SAC","PG",71,195,29,7,1315448
"Tyler Ennis","LAL","PG",75,194,22,2,1733880
"Tyler Johnson","MIA","PG",76,186,24,2,5628000
"Tyler Ulis","PHO","PG",70,150,21,0,918369
"Tyler Zeller","BOS","C",84,253,27,4,8e+06
"Tyreke Evans","SAC","SF",78,220,27,7,10661286
"Tyson Chandler","PHO","C",85,240,34,15,12415000
"Tyus Jones","MIN","PG",74,195,20,1,1339680
"Udonis Haslem","MIA","C",80,235,36,13,4e+06
"Victor Oladipo","OKC","SG",76,210,24,3,6552960
"Vince Carter","MEM","SF",78,220,40,18,4264057
"Wade Baldwin","MEM","PG",76,202,20,0,1793760
"Wayne Ellington","MIA","SG",76,200,29,7,6e+06
"Wayne Selden","MEM","SG",77,230,22,0,83119
"Wesley Johnson","LAC","SF",79,215,29,6,5628000
"Wesley Matthews","DAL","SG",77,220,30,7,17100000
"Will Barton","DEN","SG",78,175,26,4,3533333
"Willie Cauley-Stein","SAC","C",84,240,23,1,3551160
"Willie Reed","MIA","C",82,220,26,1,1015696
"Willy Hernangomez","NYK","C",83,240,22,0,1375000
"Wilson Chandler","DEN","SF",80,225,29,8,11200000
"Yogi Ferrell","DAL","PG",72,180,23,0,207798
"Zach LaVine","MIN","SG",77,189,21,2,2240880
"Zach Randolph","MEM","PF",81,260,35,15,10361445
"Zaza Pachulia","GSW","C",83,270,32,13,2898000
