name,brand,price,weight,height,bestuse,seasons,capacity
eos-1p,marmot,219,1250,91,Backpacking,3-season,1-person
lynx-pass-2,big-agnes,199.95,2210,96,Backpacking,3-season,2-person
carbon-reflex-2,msr,499.95,1220,100,Backpacking,3-season,2-person
morpho-1p,nemo,369.95,1670,94,Backpacking,3-season,1-person
mountain-2,rei,349,3630,113,Mountaineering,4-season,2-person
espri-3p,nemo,369.95,2040,101,Backpacking,3-season,3-person
espri-2p,nemo,299.95,1560,101,Backpacking,3-season,2-person
obi-1p,nemo,349.95,1130,107,Backpacking,3-season,1-person
holler-3,msr,399.95,2720,114,Backpacking,3-season,3-person
losi-2p,nemo,339.95,2210,117,Backpacking,3-season,2-person
carbon-reflex-1,msr,449.95,960,94,Backpacking,3-season,1-person
meta-2p,nemo,369.95,1300,109,Backpacking,3-season,2-person
mutha-hubba,msr,399.95,2890,117,Backpacking,3-season,3-person
soda-mountain-sl,big-agnes,599.95,3600,178,Backpacking,3-season,4-person
gunnison-31,kelty,229.95,2670,117,Backpacking,3-season,3-person
fury-2,msr,499.95,2780,114,Mountaineering,4-season,2-person
big-fat-frog-24,north-face,259,2580,108,Backpacking,3-season,2-person
gunnison-21,kelty,189.95,2210,102,Backpacking,3-season,2-person
morpho-2p,nemo,429.95,2400,107,Backpacking,3-season,2-person
aura-2p,marmot,299,1980,102,Backpacking,3-season,2-person
alpinist-2,marmot,495,2240,102,Mountaineering,4-season,2-person
burn-ridge-outfitter-2,big-agnes,189.95,2130,97,Backpacking,3-season,2-person
lightning-ht-3,sierra-designs,349.95,2350,117,Backpacking,3-season,3-person
widi-3,marmot,499,3060,90,Backpacking,3-season,3-person
fast-stash-shelter,msr,299.95,1020,122,Backpacking,3-season,2-person
king-creek-6,big-agnes,449.95,7455.9,183,Carcamping,3-season,6-person
hobitat-4,rei,269,6832.2,182,Carcamping,3-season,4-person
kingdom-6,rei,399,7796.1,188,Carcamping,3-season,6-person
limestone-4p,marmot,299,4961.2,152,Carcamping,3-season,6-person
base-camp-6,rei,399,7796.1,188,Carcamping,3-season,6-person
limestone-6p,marmot,389,6945.6,183,Carcamping,3-season,6-person
kingdom-4,rei,349,6350.3,170,Carcamping,3-season,4-person
big-house-4,big-agnes,299.95,4904.5,172,Carcamping,3-season,4-person
flying-diamond-6,big-agnes,499.95,8221.4,168,Carcamping,3-4-season,6-person
base-camp-4,rei,349,5981.8,152,Carcamping,3-season,4-person
camp-dome-6,rei,259,6123.5,188,Carcamping,3-season,6-person
big-house-6,big-agnes,359.95,6180.2,190,Carcamping,3-season,6-person
camp-dome-4,rei,199,4280.8,157,Carcamping,3-season,4-person
king-creek-4,big-agnes,349.95,6151.9,127,Carcamping,3-season,4-person
hobitat-6,rei,319,8476.5,183,Carcamping,3-season,6-person
flying-diamond-4,big-agnes,339.95,4054,142,Carcamping,4-season,4-person
asashi-4p,nemo,429.95,4762.7,152,Carcamping,3-season,4-person
trail-ridge-6,kelty,289.95,6265.2,180,Carcamping,3-season,6-person
backcountry-barn,msr,699.95,6662.1,190,Carcamping,3-season,4-person
mountain-manor-6,north-face,529,9383.7,188,Carcamping,3-season,6-person
trail-ridge-4,kelty,199.95,4734.4,150,Carcamping,3-season,4-person
hula-house-6,kelty,399.95,8306.4,193,Carcamping,3-season,6-person
docking-station,north-face,429,6718.8,175,Carcamping,3-season,6-person
hacienda-6p,marmot,599,9553.8,203,Carcamping,3-season,6-person
hula-house-4,kelty,299.95,5414.8,183,Carcamping,3-season,4-person
