"Height","Athlete","Date","Place"
"1.97 m (6 ft 5 1⁄2 in)","Rosemarie Ackermann (GDR)","14 August 1977","Helsinki[1]"
"1.97 m (6 ft 5 1⁄2 in)","Rosemarie Ackermann (GDR)","26 August 1977","West Berlin[1]"
"2.00 m (6 ft 6 3⁄4 in)","Rosemarie Ackermann (GDR)","26 August 1977","West Berlin[1]"
"2.01 m (6 ft 7 1⁄4 in)","Sara Simeoni (ITA)","4 August 1978","Brescia[1]"
"2.01 m (6 ft 7 1⁄4 in)","Sara Simeoni (ITA)","31 August 1978","Prague[1]"
"2.02 m (6 ft 7 1⁄2 in)","Ulrike Meyfarth (FRG)","8 September 1982","Athens[1]"
"2.03 m (6 ft 8 in)","Ulrike Meyfarth (FRG)","21 August 1983","London[1]"
"2.03 m (6 ft 8 in)","Tamara Bykova (URS)","21 August 1983","London[1]"
"2.04 m (6 ft 8 1⁄4 in)","Tamara Bykova (URS)","25 August 1983","Pisa[1]"
"2.05 m (6 ft 8 3⁄4 in)","Tamara Bykova (URS)","22 June 1984","Kiev[1]"
"2.07 m (6 ft 9 1⁄2 in)","Lyudmila Andonova (BUL)","20 July 1984","East Berlin[1]"
"2.07 m (6 ft 9 1⁄2 in)","Stefka Kostadinova (BUL)","25 May 1986","Sofia[1]"
"2.08 m (6 ft 10 in)","Stefka Kostadinova (BUL)","31 May 1986","Sofia[1]"
"2.09 m (6 ft 10 1⁄4 in)","Stefka Kostadinova (BUL)","30 August 1987","Rome[1]"
