"player","team","position","height","weight","age","experience","college","salary","games","minutes","points","points3","points2","points1"
"Markieff Morris","WAS","PF",82,245,27,5,"University of Kansas",7400000,76,2374,1063,71,335,180
"Otto Porter","WAS","SF",80,198,23,3,"Georgetown University",5893981,80,2605,1075,148,266,99
"Sheldon McClellan","WAS","SG",77,200,24,0,"University of Miami",543471,30,287,90,7,23,23
"Tomas Satoransky","WAS","SG",79,210,25,0,"",2870813,57,719,154,9,52,23
"Trey Burke","WAS","PG",73,191,24,3,"University of Michigan",3386598,57,703,285,31,85,22
"DeAndre' Bembry","ATL","SF",78,210,22,0,"Saint Joseph's University",1499760,38,371,101,1,46,6
"Dennis Schroder","ATL","PG",73,172,23,3,"",2708582,79,2485,1414,100,448,218
"Dwight Howard","ATL","C",83,265,31,12,"",23180275,74,2199,1002,0,388,226
"Ersan Ilyasova","ATL","PF",82,235,29,8,"",8400000,26,633,270,32,61,52
"Jose Calderon","ATL","PG",75,200,35,11,"",392478,17,247,61,8,15,7
"Kent Bazemore","ATL","SF",77,201,27,4,"Old Dominion University",15730338,73,1963,801,92,203,119
"Kris Humphries","ATL","PF",81,235,31,12,"University of Minnesota",4e+06,56,689,257,19,68,64
"Malcolm Delaney","ATL","PG",75,190,27,0,"Virginia Polytechnic Institute and State University",2500000,73,1248,391,26,119,75
"Mike Dunleavy","ATL","SF",81,230,36,14,"Duke University",4837500,30,475,169,33,24,22
"Mike Muscala","ATL","C",83,240,25,3,"Bucknell University",1015696,70,1237,435,46,124,49
"Paul Millsap","ATL","PF",80,246,31,10,"Louisiana Tech University",20072033,69,2343,1246,75,355,311
"Ryan Kelly","ATL","PF",83,230,25,3,"Duke University",418228,16,110,25,4,4,5
"Thabo Sefolosha","ATL","SF",79,220,32,10,"",3850000,62,1596,444,41,133,55
"Tim Hardaway","ATL","SG",78,205,24,3,"University of Michigan",2281605,79,2154,1143,149,266,164
"Giannis Antetokounmpo","MIL","SF",83,222,22,3,"",2995421,80,2845,1832,49,607,471
"Greg Monroe","MIL","C",83,265,26,6,"Georgetown University",17100000,81,1823,951,0,387,177
"Jabari Parker","MIL","PF",80,250,21,2,"Duke University",5374320,51,1728,1025,65,334,162
"Jason Terry","MIL","SG",74,185,39,17,"University of Arizona",1551659,74,1365,307,73,32,24
"John Henson","MIL","C",83,229,26,4,"University of North Carolina",12517606,58,1123,392,0,159,74
"Khris Middleton","MIL","SF",80,234,25,4,"Texas A&M University",15200000,29,889,426,45,105,81
"Malcolm Brogdon","MIL","SG",77,215,24,0,"University of Virginia",925000,75,1982,767,78,212,109
"Matthew Dellavedova","MIL","PG",76,198,26,3,"Saint Mary's College of California",9607500,76,1986,577,79,129,82
"Michael Beasley","MIL","PF",81,235,28,8,"Kansas State University",1403611,56,935,528,18,198,78
"Mirza Teletovic","MIL","PF",81,242,31,4,"",10500000,70,1133,451,104,52,35
"Rashad Vaughn","MIL","SG",78,202,20,1,"University of Nevada, Las Vegas",1811040,41,458,142,26,31,2
"Spencer Hawes","MIL","PF",85,245,28,9,"University of Washington",6348759,19,171,83,9,21,14
"Thon Maker","MIL","C",85,216,19,0,"",2568600,57,562,226,28,55,32
"Tony Snell","MIL","SG",79,200,25,3,"University of New Mexico",2368327,80,2336,683,144,102,47
"Aaron Brooks","IND","PG",72,161,32,8,"University of Oregon",2700000,65,894,322,48,73,32
"Al Jefferson","IND","C",82,289,32,12,"",10230179,66,931,535,0,235,65
"C.J. Miles","IND","SF",78,225,29,11,"",4583450,76,1776,815,169,112,84
"Georges Niang","IND","PF",80,230,23,0,"Iowa State University",650000,23,93,21,1,8,2
"Jeff Teague","IND","PG",74,186,28,7,"Wake Forest University",8800000,82,2657,1254,90,312,360
"Joe Young","IND","PG",74,180,24,1,"University of Oregon",1052342,33,135,68,5,21,11
"Kevin Seraphin","IND","PF",81,285,27,6,"",1800000,49,559,232,0,109,14
"Lance Stephenson","IND","SG",77,230,26,6,"University of Cincinnati",4e+06,6,132,43,5,13,2
"Lavoy Allen","IND","PF",81,260,27,5,"Temple University",4e+06,61,871,177,0,77,23
"Monta Ellis","IND","SG",75,185,31,11,"",10770000,74,1998,630,43,204,93
"Myles Turner","IND","C",83,243,20,1,"University of Texas at Austin",2463840,81,2541,1173,40,404,245
"Paul George","IND","SF",81,220,26,6,"California State University, Fresno",18314532,75,2689,1775,195,427,336
"Rakeem Christmas","IND","PF",81,250,25,1,"Syracuse University",1052342,29,219,59,0,19,21
"Thaddeus Young","IND","PF",80,221,28,9,"Georgia Institute of Technology",14153652,74,2237,814,45,317,45
"Anthony Morrow","CHI","SG",77,210,31,8,"Georgia Institute of Technology",3488000,9,87,41,6,6,11
"Bobby Portis","CHI","PF",83,230,21,1,"University of Arkansas",1453680,64,1000,437,32,151,39
"Cameron Payne","CHI","PG",75,185,22,1,"Murray State University",2112480,11,142,54,11,10,1
"Cristiano Felicio","CHI","C",82,275,24,1,"",874636,66,1040,316,0,128,60
"Denzel Valentine","CHI","SG",78,212,23,0,"Michigan State University",2092200,57,976,291,73,29,14
"Dwyane Wade","CHI","SG",76,220,35,13,"Marquette University",23200000,60,1792,1096,45,369,223
"Isaiah Canaan","CHI","SG",72,201,25,3,"Murray State University",1015696,39,592,181,25,38,30
"Jerian Grant","CHI","PG",76,195,24,1,"University of Notre Dame",1643040,63,1028,370,49,79,65
"Jimmy Butler","CHI","SF",79,220,27,5,"Marquette University",17552209,76,2809,1816,91,479,585
"Joffrey Lauvergne","CHI","C",83,220,25,2,"",1709720,20,241,89,6,31,9
"Michael Carter-Williams","CHI","PG",78,190,25,3,"Syracuse University",3183526,45,846,297,15,97,58
"Nikola Mirotic","CHI","PF",82,220,25,2,"",5782450,70,1679,744,129,129,99
"Paul Zipser","CHI","SF",80,215,22,0,"",750000,44,843,240,33,55,31
"Rajon Rondo","CHI","PG",73,186,30,10,"University of Kentucky",1.4e+07,69,1843,538,50,179,30
"Robin Lopez","CHI","C",84,255,28,8,"Stanford University",13219250,81,2271,839,0,382,75
"Dion Waiters","MIA","SG",76,225,25,4,"Syracuse University",2898000,46,1384,729,85,196,82
"Goran Dragic","MIA","PG",75,190,30,8,"",15890000,73,2459,1483,117,417,298
"Hassan Whiteside","MIA","C",84,265,27,4,"Marshall University",22116750,77,2513,1309,0,542,225
"James Johnson","MIA","PF",81,250,29,7,"Wake Forest University",4e+06,76,2085,975,87,281,152
"Josh McRoberts","MIA","PF",82,240,29,9,"Duke University",5782450,22,381,107,13,31,6
"Josh Richardson","MIA","SG",78,200,23,1,"University of Tennessee",874636,53,1614,539,75,127,60
"Justise Winslow","MIA","SF",79,225,20,1,"Duke University",2593440,18,625,196,7,73,29
"Luke Babbitt","MIA","SF",81,225,27,6,"University of Nevada, Reno",1227000,68,1065,324,87,26,11
"Okaro White","MIA","PF",80,204,24,0,"Florida State University",210995,35,471,98,12,21,20
"Rodney McGruder","MIA","SG",76,205,25,0,"Kansas State University",543471,78,1966,497,73,117,44
"Tyler Johnson","MIA","PG",76,186,24,2,"California State University, Fresno",5628000,73,2178,1002,93,264,195
"Udonis Haslem","MIA","C",80,235,36,13,"University of Florida",4e+06,17,130,31,0,11,9
"Wayne Ellington","MIA","SG",76,200,29,7,"University of North Carolina",6e+06,62,1500,648,149,82,37
"Willie Reed","MIA","C",82,220,26,1,"Saint Louis University",1015696,71,1031,374,1,161,49
"Andre Drummond","DET","C",83,279,23,4,"University of Connecticut",22116750,81,2409,1105,2,481,137
"Aron Baynes","DET","C",82,260,30,4,"Washington State University",6500000,75,1163,365,0,143,79
"Beno Udrih","DET","PG",75,205,34,12,"",1551659,39,560,227,11,81,32
"Boban Marjanovic","DET","C",87,290,28,1,"",7e+06,35,293,191,0,72,47
"Darrun Hilliard","DET","SG",78,205,23,1,"Villanova University",874060,39,381,127,12,35,21
"Henry Ellenson","DET","PF",83,245,20,0,"Marquette University",1704120,19,146,60,10,13,4
"Ish Smith","DET","PG",72,175,28,6,"Wake Forest University",6e+06,81,1955,758,28,301,72
"Jon Leuer","DET","PF",82,228,27,5,"University of Wisconsin",10991957,75,1944,767,49,261,98
"Kentavious Caldwell-Pope","DET","SG",77,205,23,3,"University of Georgia",3678319,76,2529,1047,153,217,154
"Marcus Morris","DET","SF",81,235,27,5,"University of Kansas",4625000,79,2565,1105,118,303,145
"Michael Gbinije","DET","SG",79,200,24,0,"Syracuse University",650000,9,32,4,0,1,2
"Reggie Bullock","DET","SF",79,205,25,3,"University of North Carolina",2255644,31,467,141,28,26,5
"Reggie Jackson","DET","PG",75,208,26,5,"Boston College",14956522,52,1424,752,66,218,118
"Stanley Johnson","DET","SF",79,245,20,1,"University of Arizona",2969880,77,1371,339,45,84,36
"Tobias Harris","DET","PF",81,235,24,5,"University of Tennessee",17200000,82,2567,1321,109,402,190
"Brian Roberts","CHO","PG",73,173,31,4,"University of Dayton",1050961,41,416,142,17,29,33
"Briante Weber","CHO","PG",74,165,24,1,"Virginia Commonwealth University",102898,13,159,50,1,19,9
"Christian Wood","CHO","PF",83,220,21,1,"University of Nevada, Las Vegas",874636,13,107,35,0,12,11
"Cody Zeller","CHO","PF",84,240,24,3,"Indiana University",5318313,62,1725,639,0,253,133
"Frank Kaminsky","CHO","C",84,242,23,1,"University of Wisconsin",2730000,75,1954,874,116,204,118
"Jeremy Lamb","CHO","SG",77,185,24,4,"University of Connecticut",6511628,62,1143,603,41,185,110
"Johnny O'Bryant","CHO","PF",81,257,23,2,"Louisiana State University",161483,4,34,18,1,7,1
"Kemba Walker","CHO","PG",73,172,26,5,"University of Connecticut",1.2e+07,79,2739,1830,240,403,304
"Marco Belinelli","CHO","SG",77,210,30,9,"",6333333,74,1778,780,102,162,150
"Marvin Williams","CHO","PF",81,237,30,11,"University of North Carolina",12250000,76,2295,849,124,173,131
"Michael Kidd-Gilchrist","CHO","SF",79,232,23,4,"University of Kentucky",1.3e+07,81,2349,743,1,294,152
"Miles Plumlee","CHO","C",83,249,28,4,"Duke University",12500000,13,174,31,0,14,3
"Nicolas Batum","CHO","SG",80,200,28,8,"",20869566,77,2617,1164,135,258,243
"Ramon Sessions","CHO","PG",75,190,30,9,"University of Nevada, Reno",6e+06,50,811,312,21,79,91
"Treveon Graham","CHO","SG",78,220,23,0,"Virginia Commonwealth University",543471,27,189,57,9,10,10
"Carmelo Anthony","NYK","SF",80,240,32,13,"Syracuse University",24559380,74,2538,1659,151,451,304
"Chasson Randle","NYK","PG",74,185,23,0,"Stanford University",143860,18,225,95,10,18,29
"Courtney Lee","NYK","SG",77,200,31,8,"Western Kentucky University",11242000,77,2459,835,108,213,85
"Derrick Rose","NYK","PG",75,190,28,7,"University of Memphis",21323250,64,2082,1154,13,447,221
"Joakim Noah","NYK","C",83,230,31,9,"University of Florida",1.7e+07,46,1015,232,0,99,34
"Justin Holiday","NYK","SG",78,185,27,3,"University of Washington",1015696,82,1639,629,97,136,66
"Kristaps Porzingis","NYK","PF",87,240,21,1,"",4317720,66,2164,1196,112,331,198
"Kyle O'Quinn","NYK","C",82,250,26,4,"Norfolk State University",3900000,79,1229,496,2,213,64
"Lance Thomas","NYK","PF",80,235,28,5,"Duke University",6191000,46,968,275,38,59,43
"Marshall Plumlee","NYK","C",84,250,24,0,"Duke University",543471,21,170,40,0,16,8
"Maurice Ndour","NYK","PF",81,200,24,0,"Ohio University",543471,32,331,98,1,38,19
"Mindaugas Kuzminskas","NYK","SF",81,215,27,0,"",2898000,68,1016,425,54,104,55
"Ron Baker","NYK","SG",76,220,23,0,"Wichita State University",543471,52,857,215,23,59,28
"Sasha Vujacic","NYK","SG",79,195,32,9,"",1410598,42,408,124,23,19,17
"Willy Hernangomez","NYK","C",83,240,22,0,"",1375000,72,1324,587,4,242,91
"Aaron Gordon","ORL","SF",81,220,21,2,"University of Arizona",4351320,80,2298,1019,77,316,156
"Bismack Biyombo","ORL","C",81,255,24,5,"",1.7e+07,81,1793,483,0,179,125
"C.J. Watson","ORL","PG",74,175,32,9,"University of Tennessee",5e+06,62,1012,281,32,64,57
"D.J. Augustin","ORL","PG",72,183,29,8,"University of Texas at Austin",7250000,78,1538,616,95,100,131
"Damjan Rudez","ORL","SF",82,228,30,2,"",980431,45,314,82,20,11,0
"Elfrid Payton","ORL","PG",76,185,22,2,"University of Louisiana at Lafayette",2613600,82,2412,1046,40,390,146
"Evan Fournier","ORL","SG",79,205,24,4,"",1.7e+07,68,2234,1167,128,280,223
"Jeff Green","ORL","PF",81,235,30,8,"Georgetown University",1.5e+07,69,1534,638,53,167,145
"Jodie Meeks","ORL","SG",76,210,29,7,"University of Kentucky",6540000,36,738,327,56,47,65
"Marcus Georges-Hunt","ORL","SG",77,216,22,0,"Georgia Institute of Technology",31969,5,48,14,1,1,9
"Mario Hezonja","ORL","SF",80,215,21,1,"",3909840,65,960,317,43,74,40
"Nikola Vucevic","ORL","C",84,260,26,5,"University of Southern California",11750000,75,2163,1096,23,460,107
"Patricio Garino","ORL","SG",78,210,23,0,"George Washington University",31969,5,43,0,0,0,0
"Stephen Zimmerman","ORL","C",84,240,20,0,"University of Nevada, Las Vegas",950000,19,108,23,0,10,3
"Terrence Ross","ORL","SF",79,206,25,4,"University of Washington",1e+07,24,748,299,46,69,23
"Alex Poythress","PHI","PF",79,238,23,0,"University of Kentucky",31969,6,157,64,6,19,8
"Dario Saric","PHI","PF",82,223,22,0,"",2318280,81,2129,1040,106,275,172
"Gerald Henderson","PHI","SG",77,215,29,7,"Duke University",9e+06,72,1667,662,61,173,133
"Jahlil Okafor","PHI","C",83,275,21,1,"Duke University",4788840,50,1134,590,0,242,106
"Jerryd Bayless","PHI","PG",75,200,28,8,"University of Arizona",9424084,3,71,33,2,9,9
"Joel Embiid","PHI","C",84,250,22,0,"University of Kansas",4826160,31,786,627,36,164,191
"Justin Anderson","PHI","SF",78,228,23,1,"University of Virginia",1514160,24,518,203,21,54,32
"Nik Stauskas","PHI","SG",78,205,23,2,"University of Michigan",2993040,80,2188,756,132,119,122
"Richaun Holmes","PHI","C",82,245,23,1,"Bowling Green State University",1025831,57,1193,559,27,203,72
"Robert Covington","PHI","SF",81,215,26,3,"Tennessee State University",1015696,67,2119,864,137,155,143
"Sergio Rodriguez","PHI","PG",75,176,30,4,"",8e+06,68,1518,530,92,118,18
"Shawn Long","PHI","C",81,255,24,0,"University of Louisiana at Lafayette",89513,18,234,148,7,54,19
"T.J. McConnell","PHI","PG",74,200,24,1,"University of Arizona",874636,81,2133,556,11,225,73
"Tiago Splitter","PHI","C",83,245,32,6,"",8550000,8,76,39,2,12,9
"Timothe Luwawu-Cabarrot","PHI","SF",78,205,21,0,"",1326960,69,1190,445,50,95,105
"Andrew Nicholson","BRK","PF",81,250,27,4,"St. Bonaventure University",6088993,10,111,30,2,11,2
"Archie Goodwin","BRK","SG",77,200,22,3,"University of Kentucky",119494,12,184,95,4,30,23
"Brook Lopez","BRK","C",84,275,28,8,"Stanford University",21165675,75,2222,1539,134,421,295
"Caris LeVert","BRK","SF",79,203,22,0,"University of Michigan",1562280,57,1237,468,59,112,67
"Isaiah Whitehead","BRK","PG",76,213,21,0,"Seton Hall University",1074145,73,1643,543,44,160,91
"Jeremy Lin","BRK","PG",75,200,28,6,"Harvard University",11483254,36,883,523,58,117,115
"Joe Harris","BRK","SG",78,219,25,2,"University of Virginia",980431,52,1138,428,85,69,35
"Justin Hamilton","BRK","C",84,260,26,2,"Louisiana State University",3e+06,64,1177,442,55,119,39
"K.J. McDaniels","BRK","SF",78,205,23,2,"Clemson University",3333333,20,293,126,11,35,23
"Quincy Acy","BRK","PF",79,240,26,4,"Baylor University",1790902,32,510,209,36,29,43
"Randy Foye","BRK","SG",76,213,33,10,"Villanova University",2500000,69,1284,357,67,51,54
"Rondae Hollis-Jefferson","BRK","SF",79,220,22,1,"University of Arizona",1395600,78,1761,675,15,220,190
"Sean Kilpatrick","BRK","SG",76,210,27,2,"University of Cincinnati",980431,70,1754,919,105,200,204
"Spencer Dinwiddie","BRK","PG",78,200,23,2,"University of Colorado",726672,59,1334,432,38,96,126
"Trevor Booker","BRK","PF",80,228,29,6,"Clemson University",9250000,71,1754,709,25,280,74
"Andre Iguodala","GSW","SF",78,215,33,12,"University of Arizona",11131368,76,1998,574,64,155,72
"Damian Jones","GSW","C",84,245,21,0,"Vanderbilt University",1171560,10,85,19,0,8,3
"David West","GSW","C",81,250,36,13,"Xavier University",1551659,68,854,316,3,132,43
"Draymond Green","GSW","PF",79,230,26,4,"Michigan State University",15330435,76,2471,776,81,191,151
"Ian Clark","GSW","SG",75,175,25,3,"Belmont University",1015696,77,1137,527,61,150,44
"James Michael McAdoo","GSW","PF",81,230,24,2,"University of North Carolina",980431,52,457,147,2,60,21
"JaVale McGee","GSW","C",84,270,29,8,"University of Nevada, Reno",1403611,77,739,472,0,208,56
"Kevin Durant","GSW","SF",81,240,28,9,"University of Texas at Austin",26540100,62,2070,1555,117,434,336
"Kevon Looney","GSW","C",81,220,20,1,"University of California, Los Angeles",1182840,53,447,135,2,54,21
"Klay Thompson","GSW","SG",79,215,26,5,"Washington State University",16663575,78,2649,1742,268,376,186
"Matt Barnes","GSW","SF",79,226,36,13,"University of California, Los Angeles",383351,20,410,114,18,20,20
"Patrick McCaw","GSW","SG",79,185,21,0,"University of Nevada, Las Vegas",543471,71,1074,282,41,65,29
"Shaun Livingston","GSW","PG",79,192,31,11,"",5782450,76,1345,389,1,172,42
"Stephen Curry","GSW","PG",75,190,28,7,"Davidson College",12112359,79,2638,1999,324,351,325
"Zaza Pachulia","GSW","C",83,270,32,13,"",2898000,70,1268,426,0,164,98
"Bryn Forbes","SAS","SG",75,190,23,0,"Michigan State University",543471,36,285,94,17,19,5
"Danny Green","SAS","SG",78,215,29,7,"University of North Carolina",1e+07,68,1807,497,118,58,27
"David Lee","SAS","PF",81,245,33,11,"University of Florida",1551659,79,1477,576,0,248,80
"Davis Bertans","SAS","PF",82,210,24,0,"",543471,67,808,303,69,34,28
"Dejounte Murray","SAS","PG",77,170,20,0,"University of Washington",1180080,38,322,130,9,41,21
"Dewayne Dedmon","SAS","C",84,245,27,3,"University of Southern California",2898000,76,1330,387,0,161,65
"Joel Anthony","SAS","C",81,245,34,9,"University of Nevada, Las Vegas",165952,19,122,25,0,10,5
"Jonathon Simmons","SAS","SG",78,195,27,1,"University of Houston",874636,78,1392,483,30,147,99
"Kawhi Leonard","SAS","SF",79,230,25,5,"San Diego State University",17638063,74,2474,1888,147,489,469
"Kyle Anderson","SAS","SG",81,230,23,2,"University of California, Los Angeles",1192080,72,1020,246,15,78,45
"LaMarcus Aldridge","SAS","PF",83,260,31,10,"University of Texas at Austin",20575005,72,2335,1243,23,477,220
"Manu Ginobili","SAS","SG",78,205,39,14,"",1.4e+07,69,1291,517,89,82,86
"Patty Mills","SAS","PG",72,185,28,7,"Saint Mary's College of California",3578948,80,1754,759,147,126,66
"Pau Gasol","SAS","C",84,250,36,15,"",15500000,64,1627,792,56,247,130
"Tony Parker","SAS","PG",74,185,34,15,"",14445313,63,1587,638,23,242,85
"Bobby Brown","HOU","PG",74,175,32,2,"California State University, Fullerton",680534,25,123,62,14,9,2
"Chinanu Onuaku","HOU","C",82,245,20,0,"University of Louisville",543471,5,52,14,0,5,4
"Clint Capela","HOU","C",82,240,22,2,"",1296240,65,1551,818,0,362,94
"Eric Gordon","HOU","SG",76,215,28,8,"Indiana University",12385364,75,2323,1217,246,166,147
"Isaiah Taylor","HOU","PG",75,170,22,0,"University of Texas at Austin",255000,4,52,3,0,1,1
"James Harden","HOU","PG",77,220,27,7,"Arizona State University",26540100,81,2947,2356,262,412,746
"Kyle Wiltjer","HOU","PF",82,240,24,0,"Gonzaga University",543471,14,44,13,4,0,1
"Lou Williams","HOU","SG",73,175,30,11,"",7e+06,23,591,343,41,61,98
"Montrezl Harrell","HOU","C",80,240,23,1,"University of Louisville",1e+06,58,1064,527,1,224,76
"Patrick Beverley","HOU","SG",73,185,28,4,"University of Arkansas",6e+06,67,2058,639,110,118,73
"Ryan Anderson","HOU","PF",82,240,28,8,"University of California",18735364,72,2116,979,204,119,129
"Sam Dekker","HOU","SF",81,230,22,1,"University of Wisconsin",1720560,77,1419,504,60,143,38
"Trevor Ariza","HOU","SF",80,215,31,12,"University of California, Los Angeles",7806971,80,2773,936,191,135,93
"Troy Williams","HOU","SF",79,218,22,0,"Indiana University",150000,6,139,58,8,14,6
"Alan Anderson","LAC","SF",78,220,34,7,"Michigan State University",1315448,30,308,86,14,16,12
"Austin Rivers","LAC","SG",76,200,24,4,"Duke University",1.1e+07,74,2054,889,111,212,132
"Blake Griffin","LAC","PF",82,251,27,6,"University of Oklahoma",20140838,61,2076,1316,38,441,320
"Brandon Bass","LAC","PF",80,250,31,11,"Louisiana State University",1551659,52,577,292,1,106,77
"Brice Johnson","LAC","PF",82,230,22,0,"University of North Carolina",1273920,3,9,4,0,2,0
"Chris Paul","LAC","PG",72,175,31,11,"Wake Forest University",22868828,61,1921,1104,124,250,232
"DeAndre Jordan","LAC","C",83,265,28,8,"Texas A&M University",21165675,81,2570,1029,0,412,205
"Diamond Stone","LAC","C",83,255,19,0,"University of Maryland",543471,7,24,10,0,3,4
"J.J. Redick","LAC","SG",76,190,32,10,"Duke University",7377500,78,2198,1173,201,195,180
"Jamal Crawford","LAC","SG",77,200,36,16,"University of Michigan",13253012,82,2157,1008,116,243,174
"Luc Mbah a Moute","LAC","SF",80,230,30,8,"University of California, Los Angeles",2203000,80,1787,484,43,148,59
"Marreese Speights","LAC","C",82,255,29,8,"University of Florida",1403611,82,1286,711,103,141,120
"Paul Pierce","LAC","SF",79,235,39,18,"University of Kansas",3500000,25,277,81,15,13,10
"Raymond Felton","LAC","PG",73,205,32,11,"University of North Carolina",1551659,80,1700,538,46,175,50
"Wesley Johnson","LAC","SF",79,215,29,6,"Syracuse University",5628000,68,810,186,29,44,11
"Alec Burks","UTA","SG",78,214,25,5,"University of Colorado",10154495,42,653,283,25,74,60
"Boris Diaw","UTA","PF",80,250,34,13,"",7e+06,73,1283,338,20,126,26
"Dante Exum","UTA","PG",78,190,21,1,"",3940320,66,1228,412,44,111,58
"Derrick Favors","UTA","PF",82,265,25,6,"Georgia Institute of Technology",11050000,50,1186,476,3,200,67
"George Hill","UTA","PG",75,188,30,8,"Indiana University-Purdue University Indianapolis",8e+06,49,1544,829,94,195,157
"Gordon Hayward","UTA","SF",80,226,26,6,"Butler University",16073140,73,2516,1601,149,396,362
"Jeff Withey","UTA","C",84,231,26,3,"University of Kansas",1015696,51,432,146,0,55,36
