Player,Team,Position,Experience,Salary,Rank,Age,GP,GS,MIN,FGM,FGA,Points3,Points3_atts,Points2,Points2_atts,FTM,FTA,OREB,DREB,AST,STL,BLK,TO
Thon Maker,MIL,C,R,2568600,12,19,57,34,562,83,181,28,74,55,107,32,49,40,74,23,10,26,17
Tony Snell,MIL,SG,3,2368327,2,25,80,80,2336,246,541,144,355,102,186,47,58,22,226,96,54,14,55
Aaron Brooks,IND,PG,8,2700000,9,32,65,0,894,121,300,48,128,73,172,32,40,18,51,125,25,9,66
Al Jefferson,IND,C,12,10230179,8,32,66,1,931,235,471,0,1,235,470,65,85,75,203,57,19,16,33
C.J. Miles,IND,SF,11,4583450,6,29,76,29,1776,281,647,169,409,112,238,84,93,30,199,48,46,25,40
Georges Niang,IND,PF,R,650000,16,23,23,0,93,9,36,1,12,8,24,2,2,2,15,5,3,0,5
Jeff Teague,IND,PG,7,8800000,2,28,82,82,2657,402,909,90,252,312,657,360,415,33,298,639,100,32,216
Joe Young,IND,PG,1,1052342,14,24,33,0,135,26,72,5,23,21,49,11,15,1,16,15,4,0,5
Kevin Seraphin,IND,PF,6,1800000,12,27,49,3,559,109,198,0,2,109,196,14,22,41,101,23,7,20,29
Lance Stephenson,IND,SG,6,4.00E+06,15,26,6,0,132,18,44,5,8,13,36,2,3,1,23,25,3,2,11
Lavoy Allen,IND,PF,5,4.00E+06,10,27,61,5,871,77,168,0,1,77,167,23,33,105,115,57,18,24,29
Monta Ellis,IND,SG,11,10770000,5,31,74,33,1998,247,557,43,135,204,422,93,128,19,185,236,79,27,135
Myles Turner,IND,C,1,2463840,3,20,81,81,2541,444,869,40,115,404,754,245,303,139,448,106,74,173,105
Paul George,IND,SF,6,18314532,1,26,75,75,2689,622,1349,195,496,427,853,336,374,58,434,251,117,27,218
Rakeem Christmas,IND,PF,1,1052342,13,25,29,0,219,19,43,0,0,19,43,21,29,26,30,4,3,6,8
Thaddeus Young,IND,PF,9,14153652,4,28,74,74,2237,362,687,45,118,317,569,45,86,131,318,122,114,30,96
Anthony Morrow,CHI,SG,8,3488000,17,31,9,0,87,12,29,6,14,6,15,11,11,1,1,6,2,0,0
Bobby Portis,CHI,PF,1,1453680,10,21,64,13,1000,183,375,32,96,151,279,39,59,75,220,35,16,11,37
Cameron Payne,CHI,PG,1,2112480,16,22,11,0,142,21,63,11,34,10,29,1,4,1,16,15,4,0,13
Cristiano Felicio,CHI,C,1,874636,8,24,66,0,1040,128,222,0,0,128,222,60,93,124,187,40,25,16,33
Denzel Valentine,CHI,SG,R,2092200,11,23,57,0,976,102,288,73,208,29,80,14,18,11,140,63,30,7,49
Dwyane Wade,CHI,SG,13,23200000,4,35,60,59,1792,414,955,45,145,369,810,223,281,64,207,229,86,41,138
Isaiah Canaan,CHI,SG,3,1015696,14,25,39,0,592,63,173,25,94,38,79,30,33,6,43,37,22,1,20
Jerian Grant,CHI,PG,1,1643040,9,24,63,28,1028,128,301,49,134,79,167,65,73,17,94,120,47,8,44
Jimmy Butler,CHI,SF,5,17552209,1,27,76,75,2809,570,1252,91,248,479,1004,585,676,128,342,417,143,32,159
Joffrey Lauvergne,CHI,C,2,1709720,15,25,20,1,241,37,92,6,20,31,72,9,15,21,47,19,7,0,16
Michael Carter-Williams,CHI,PG,3,3183526,12,25,45,19,846,112,306,15,64,97,242,58,77,24,128,113,38,23,66
Nikola Mirotic,CHI,PF,2,5782450,5,25,70,15,1679,258,625,129,377,129,248,99,128,61,323,75,53,56,79
Paul Zipser,CHI,SF,R,750000,13,22,44,18,843,88,221,33,99,55,122,31,40,15,110,36,15,16,40
Rajon Rondo,CHI,PG,10,1.40E+07,3,30,69,42,1843,229,561,50,133,179,428,30,50,73,282,461,99,11,168
Robin Lopez,CHI,C,8,13219250,2,28,81,81,2271,382,775,0,2,382,773,75,104,244,276,80,18,117,90
Dion Waiters,MIA,SG,4,2898000,8,25,46,43,1384,281,663,85,215,196,448,82,127,18,136,200,41,20,103
Goran Dragic,MIA,PG,8,15890000,2,30,73,73,2459,534,1124,117,289,417,835,298,377,61,217,423,89,13,212
Hassan Whiteside,MIA,C,4,22116750,1,27,77,77,2513,542,973,0,0,542,973,225,358,293,795,57,56,161,154
James Johnson,MIA,PF,7,4.00E+06,4,29,76,5,2085,368,769,87,256,281,513,152,215,66,309,276,76,86,171
Josh McRoberts,MIA,PF,9,5782450,13,29,22,14,381,44,118,13,31,31,87,6,9,23,51,50,10,4,23
Josh Richardson,MIA,SG,1,874636,6,23,53,34,1614,202,513,75,227,127,286,60,77,35,133,140,60,39,65
Justise Winslow,MIA,SF,1,2593440,11,20,18,15,625,80,225,7,35,73,190,29,47,23,71,66,27,6,33
Luke Babbitt,MIA,SF,6,1227000,9,27,68,55,1065,113,281,87,210,26,71,11,15,13,129,36,21,11,25
Okaro White,MIA,PF,R,210995,12,24,35,0,471,33,87,12,34,21,53,20,22,25,57,21,10,10,18
Rodney McGruder,MIA,SG,R,543471,5,25,78,65,1966,190,460,73,220,117,240,44,71,95,162,124,45,18,56
Tyler Johnson,MIA,PG,2,5628000,3,24,73,0,2178,357,824,93,250,264,574,195,254,50,243,233,84,44,90
Udonis Haslem,MIA,C,13,4.00E+06,15,36,17,0,130,11,23,0,3,11,20,9,15,8,28,6,5,1,8
Wayne Ellington,MIA,SG,7,6.00E+06,7,29,62,13,1500,231,555,149,394,82,161,37,43,18,115,70,35,4,30
Willie Reed,MIA,C,1,1015696,10,26,71,5,1031,162,285,1,4,161,281,49,88,129,203,26,18,47,31
Andre Drummond,DET,C,4,22116750,4,23,81,81,2409,483,911,2,7,481,904,137,355,345,771,89,124,89,152
Aron Baynes,DET,C,4,6500000,9,30,75,2,1163,143,279,0,0,143,279,79,94,111,222,32,17,39,50
Beno Udrih,DET,PG,12,1551659,10,34,39,0,560,92,197,11,32,81,165,32,34,6,51,131,13,0,37
Boban Marjanovic,DET,C,1,7.00E+06,13,28,35,0,293,72,132,0,0,72,132,47,58,46,84,9,6,12,10
Darrun Hilliard,DET,SG,1,874060,12,23,39,1,381,47,126,12,46,35,80,21,28,2,31,33,11,2,28
Henry Ellenson,DET,PF,R,1704120,14,20,19,2,146,23,64,10,35,13,29,4,8,8,33,7,1,1,14
Ish Smith,DET,PG,6,6.00E+06,5,28,81,32,1955,329,749,28,105,301,644,72,102,21,214,418,61,33,112
Jon Leuer,DET,PF,5,10991957,6,27,75,34,1944,310,646,49,167,261,479,98,113,102,300,111,31,26,66
Kentavious Caldwell-Pope,DET,SG,3,3678319,3,23,76,75,2529,370,928,153,437,217,491,154,185,55,193,193,89,12,86
Marcus Morris,DET,SF,5,4625000,2,27,79,79,2565,421,1007,118,357,303,650,145,185,77,289,160,52,25,87
Michael Gbinije,DET,SG,R,650000,15,24,9,0,32,1,10,0,4,1,6,2,2,2,1,2,0,0,0
Reggie Bullock,DET,SF,3,2255644,11,25,31,5,467,54,128,28,73,26,55,5,7,13,51,29,18,3,10
Reggie Jackson,DET,PG,5,14956522,7,26,52,50,1424,284,677,66,184,218,493,118,136,21,92,270,35,5,114
Stanley Johnson,DET,SF,1,2969880,8,20,77,1,1371,129,365,45,154,84,211,36,53,36,153,105,56,24,71
Tobias Harris,DET,PF,5,17200000,1,24,82,48,2567,511,1063,109,314,402,749,190,226,63,353,142,60,39,95
Brian Roberts,CHO,PG,4,1050961,12,31,41,2,416,46,122,17,44,29,78,33,39,5,34,52,9,1,26
Briante Weber,CHO,PG,1,102898,15,24,13,0,159,20,46,1,7,19,39,9,13,8,14,16,9,0,5
Christian Wood,CHO,PF,1,874636,16,21,13,0,107,12,23,0,5,12,18,11,15,14,15,2,3,6,7
Cody Zeller,CHO,PF,3,5318313,7,24,62,58,1725,253,443,0,1,253,442,133,196,135,270,99,62,58,65
Frank Kaminsky,CHO,C,1,2730000,5,23,75,16,1954,320,802,116,354,204,448,118,156,57,279,162,47,34,76
Jeremy Lamb,CHO,SG,4,6511628,8,24,62,5,1143,226,491,41,146,185,345,110,129,30,234,75,27,23,40
Johnny O'Bryant,CHO,PF,2,161483,17,23,4,0,34,8,15,1,3,7,12,1,2,4,4,4,0,0,3
Kemba Walker,CHO,PG,5,1.20E+07,1,26,79,79,2739,643,1449,240,602,403,847,304,359,45,263,435,85,22,168
Marco Belinelli,CHO,SG,9,6333333,6,30,74,0,1778,264,615,102,283,162,332,150,168,14,164,147,44,9,70
Marvin Williams,CHO,PF,11,12250000,4,30,76,76,2295,297,704,124,354,173,350,131,150,89,409,106,58,53,60
Michael Kidd-Gilchrist,CHO,SF,4,1.30E+07,3,23,81,81,2349,295,618,1,9,294,609,152,194,156,409,114,81,77,56
Miles Plumlee,CHO,C,4,12500000,14,28,13,0,174,14,24,0,0,14,24,3,4,15,27,3,7,4,8
Nicolas Batum,CHO,SG,8,20869566,2,28,77,77,2617,393,975,135,405,258,570,243,284,46,435,455,86,29,194
Ramon Sessions,CHO,PG,9,6.00E+06,9,30,50,1,811,100,263,21,62,79,201,91,118,11,62,129,26,3,46
Treveon Graham,CHO,SG,R,543471,13,23,27,1,189,19,40,9,15,10,25,10,15,5,17,6,6,1,3
Carmelo Anthony,NYK,SF,13,24559380,1,32,74,74,2538,602,1389,151,421,451,968,304,365,62,374,213,60,34,153
Chasson Randle,NYK,PG,R,143860,15,23,18,0,225,28,72,10,32,18,40,29,31,6,21,28,6,1,16
Courtney Lee,NYK,SG,8,11242000,2,31,77,74,2459,321,704,108,269,213,435,85,98,53,207,179,81,23,69
Derrick Rose,NYK,PG,7,21323250,4,28,64,64,2082,460,977,13,60,447,917,221,253,66,180,283,44,17,147
Joakim Noah,NYK,C,9,1.70E+07,10,31,46,46,1015,99,201,0,1,99,200,34,78,161,241,103,30,37,58
Justin Holiday,NYK,SG,3,1015696,5,27,82,4,1639,233,538,97,273,136,265,66,80,27,198,102,65,31,66
Kristaps Porzingis,NYK,PF,1,4317720,3,21,66,65,2164,443,985,112,314,331,671,198,252,111,364,97,47,130,118
Kyle O'Quinn,NYK,C,4,3900000,8,26,79,8,1229,215,413,2,17,213,396,64,83,157,282,117,36,104,76
Lance Thomas,NYK,PF,5,6191000,11,28,46,15,968,97,244,38,85,59,159,43,51,32,110,35,21,5,25
Marshall Plumlee,NYK,C,R,543471,16,24,21,1,170,16,30,0,0,16,30,8,19,23,28,10,4,4,12
Maurice Ndour,NYK,PF,R,543471,14,24,32,4,331,39,86,1,7,38,79,19,26,22,42,8,15,8,12
Mindaugas Kuzminskas,NYK,SF,R,2898000,9,27,68,5,1016,158,369,54,168,104,201,55,68,47,79,69,29,11,51
Ron Baker,NYK,SG,R,543471,12,23,52,13,857,82,217,23,86,59,131,28,43,12,86,107,34,8,56
Sasha Vujacic,NYK,SG,9,1410598,13,32,42,4,408,42,136,23,74,19,62,17,24,12,47,52,13,2,16
Willy Hernangomez,NYK,C,R,1375000,7,22,72,22,1324,246,465,4,15,242,450,91,125,170,332,96,41,36,100
Aaron Gordon,ORL,SF,2,4351320,2,21,80,72,2298,393,865,77,267,316,598,156,217,116,289,150,64,40,89
Bismack Biyombo,ORL,C,5,1.70E+07,5,24,81,27,1793,179,339,0,0,179,339,125,234,157,410,74,25,91,95
C.J. Watson,ORL,PG,9,5.00E+06,9,32,62,9,1012,96,248,32,105,64,143,57,66,16,73,114,43,2,47
D.J. Augustin,ORL,PG,8,7250000,7,29,78,20,1538,195,517,95,274,100,243,131,161,15,102,209,31,1,90
Damjan Rudez,ORL,SF,2,980431,13,30,45,0,314,31,88,20,64,11,24,0,0,5,20,20,12,1,9
Elfrid Payton,ORL,PG,2,2613600,1,22,82,58,2412,430,912,40,146,390,766,146,211,89,298,529,88,40,178
Evan Fournier,ORL,SG,4,1.70E+07,3,24,68,66,2234,408,930,128,360,280,570,223,277,44,165,202,66,4,141
Jeff Green,ORL,PF,8,1.50E+07,8,30,69,11,1534,220,558,53,193,167,365,145,168,39,175,81,37,13,75
Jodie Meeks,ORL,SG,7,6540000,12,29,36,10,738,103,256,56,137,47,119,65,74,5,72,45,34,4,36
Marcus Georges-Hunt,ORL,SG,R,31969,16,22,5,0,48,2,7,1,2,1,5,9,10,1,8,3,1,0,2
Mario Hezonja,ORL,SF,1,3909840,10,21,65,2,960,117,330,43,144,74,186,40,50,20,126,62,30,14,58
Nikola Vucevic,ORL,C,5,11750000,4,26,75,55,2163,483,1031,23,75,460,956,107,160,176,603,208,77,74,117
Patricio Garino,ORL,SG,R,31969,17,23,5,0,43,0,7,0,5,0,2,0,0,1,6,0,0,0,3
Stephen Zimmerman,ORL,C,R,950000,14,20,19,0,108,10,31,0,0,10,31,3,5,11,24,4,2,5,3
Terrence Ross,ORL,SF,4,1.00E+07,11,25,24,24,748,115,267,46,135,69,132,23,27,4,64,43,34,13,35
Alex Poythress,PHI,PF,R,31969,16,23,6,1,157,25,54,6,19,19,35,8,10,11,18,5,3,2,3
Dario Saric,PHI,PF,R,2318280,3,22,81,36,2129,381,927,106,341,275,586,172,220,112,402,182,57,30,183
Gerald Henderson,PHI,SG,7,9.00E+06,5,29,72,41,1667,234,553,61,173,173,380,133,165,34,151,112,41,15,62
Jahlil Okafor,PHI,C,1,4788840,10,21,50,33,1134,242,471,0,0,242,471,106,158,81,159,58,20,49,91
Jerryd Bayless,PHI,PG,8,9424084,19,28,3,1,71,11,32,2,5,9,27,9,10,3,9,13,0,0,9
Joel Embiid,PHI,C,R,4826160,11,22,31,31,786,200,429,36,98,164,331,191,244,61,182,66,27,76,117
Justin Anderson,PHI,SF,1,1514160,14,23,24,8,518,75,162,21,72,54,90,32,41,30,66,34,13,7,26
Nik Stauskas,PHI,SG,2,2993040,1,23,80,27,2188,251,634,132,359,119,275,122,150,21,205,188,46,32,128
Richaun Holmes,PHI,C,1,1025831,8,23,57,17,1193,230,412,27,77,203,335,72,103,94,217,58,42,55,55
Robert Covington,PHI,SF,3,1015696,4,26,67,67,2119,292,732,137,412,155,320,143,174,92,344,102,127,69,131
Sergio Rodriguez,PHI,PG,4,8.00E+06,6,30,68,30,1518,210,536,92,252,118,284,18,27,21,136,344,48,4,128
Shawn Long,PHI,C,R,89513,15,24,18,0,234,61,109,7,19,54,90,19,35,41,44,13,9,9,13
T.J. McConnell,PHI,PG,1,874636,2,24,81,51,2133,236,512,11,55,225,457,73,90,39,212,534,133,10,159
Tiago Splitter,PHI,C,6,8550000,17,32,8,0,76,14,31,2,6,12,25,9,11,8,14,4,1,1,6
Timothe Luwawu-Cabarrot,PHI,SF,R,1326960,9,21,69,19,1190,145,361,50,161,95,200,105,123,25,123,75,32,10,73
Andrew Nicholson,BRK,PF,4,6088993,19,27,10,0,111,13,34,2,11,11,23,2,2,4,23,3,5,0,6
Archie Goodwin,BRK,SG,3,119494,17,22,12,0,184,34,61,4,13,30,48,23,32,7,21,23,4,4,14
Brook Lopez,BRK,C,8,21165675,1,28,75,75,2222,555,1172,134,387,421,785,295,364,121,282,176,38,124,184
Caris LeVert,BRK,SF,R,1562280,9,22,57,26,1237,171,380,59,184,112,196,67,93,23,165,110,49,8,59
Isaiah Whitehead,BRK,PG,R,1074145,5,21,73,26,1643,204,508,44,149,160,359,91,113,32,152,192,42,36,142
Jeremy Lin,BRK,PG,6,11483254,12,28,36,33,883,175,400,58,156,117,244,115,141,11,124,184,41,14,86
Joe Harris,BRK,SG,2,980431,11,25,52,11,1138,154,362,85,221,69,141,35,49,16,131,54,30,8,55
Justin Hamilton,BRK,C,2,3.00E+06,10,26,64,7,1177,174,379,55,181,119,198,39,52,71,191,55,29,43,43
K.J. McDaniels,BRK,SF,2,3333333,15,23,20,0,293,46,101,11,39,35,62,23,28,9,43,9,12,10,19
Quincy Acy,BRK,PF,4,1790902,13,26,32,1,510,65,153,36,83,29,70,43,57,18,89,18,14,15,19
Randy Foye,BRK,SG,10,2500000,8,33,69,40,1284,118,325,67,203,51,122,54,63,9,146,135,35,9,80
Rondae Hollis-Jefferson,BRK,SF,1,1395600,2,22,78,50,1761,235,542,15,67,220,475,190,253,96,356,154,82,44,116
Sean Kilpatrick,BRK,SG,2,980431,4,27,70,24,1754,305,735,105,308,200,427,204,242,22,258,157,46,6,136
Spencer Dinwiddie,BRK,PG,2,726672,7,23,59,18,1334,134,302,38,101,96,201,126,159,27,137,185,44,23,66
Trevor Booker,BRK,PF,6,9250000,3,29,71,43,1754,305,591,25,78,280,513,74,110,142,428,138,76,28,127
Andre Iguodala,GSW,SF,12,11131368,5,33,76,0,1998,219,415,64,177,155,238,72,102,51,253,262,76,39,58
Damian Jones,GSW,C,R,1171560,16,21,10,0,85,8,16,0,0,8,16,3,10,9,14,0,1,4,6
David West,GSW,C,13,1551659,10,36,68,0,854,135,252,3,8,132,244,43,56,47,156,151,42,48,78
Draymond Green,GSW,PF,4,15330435,3,26,76,76,2471,272,650,81,263,191,387,151,213,98,501,533,154,106,184
Ian Clark,GSW,SG,3,1015696,8,25,77,0,1137,211,433,61,163,150,270,44,58,22,100,90,39,8,55
James Michael McAdoo,GSW,PF,2,980431,12,24,52,2,457,62,117,2,8,60,109,21,42,34,56,17,18,29,19
JaVale McGee,GSW,C,8,1403611,11,29,77,10,739,208,319,0,4,208,315,56,111,100,144,17,19,67,40
Kevin Durant,GSW,SF,9,26540100,4,28,62,62,2070,551,1026,117,312,434,714,336,384,39,474,300,66,99,138
Kevon Looney,GSW,C,1,1182840,13,20,53,4,447,56,107,2,9,54,98,21,34,44,80,29,14,17,17
